Domain_Presence,sp_id,NEON_Species,Source_Species,Range_Source,Very_Limited_Range
D1,acucan,Acupalpus canadensis,,Bousquet 2012,
D1,acucar,Acupalpus carus,,Bousquet 2012,
D1,acuhyd,Acupalpus hydropicus,,Bousquet 2012,
D1,acuind,Acupalpus indistinctus,,Bousquet 2012,
D1,acunan,Acupalpus nanellus,,Bousquet 2012,
D1,acupar,Acupalpus partiarius,,Bousquet 2012,
D1,acupau,Acupalpus pauperculus,,Bousquet 2012,
D1,acupum,Acupalpus pumilus,,Bousquet 2012,
D1,acutes,Acupalpus testaceus,,Bousquet 2012,
D1,agoaer,Agonum aeruginosum,,Bousquet 2012,
D1,agoaff,Agonum affine,,Bousquet 2012,
D1,agoalb,Agonum albicrus,,Bousquet 2012,
D1,agoanc,Agonum anchomenoides,,Bousquet 2012,
D1,agobas,Agonum basale,,Bousquet 2012,
D1,agocan,Agonum canadense,,Bousquet 2012,
D1,agocol,Agonum collare,,Bousquet 2012,
D1,agocon,Agonoleptus conjunctus,,Bousquet 2013,
D1,agocor,Agonum corvus,,Bousquet 2012,
D1,agocre1,Agonum crenistriatum,,Bousquet 2012,
D1,agocup2,Agonum cupripenne,,Bousquet 2012,
D1,agodar,Agonum darlingtoni,,Bousquet 2012,
D1,agodec1,Agonum deceptivum,,Bousquet 2012,
D1,agodec2,Agonum decorum,,Bousquet 2012,
D1,agoerr,Agonum errans,,Bousquet 2012,
D1,agoexc,Agonum excavatum,,Bousquet 2012,
D1,agoext1,Agonum extensicolle,,Bousquet 2012,
D1,agofer1,Agonum ferreum,,Bousquet 2012,
D1,agofid,Agonum fidele,,Bousquet 2012,
D1,agogal,Agonum galvestonicum,,Bousquet 2012,
D1,agogra,Agonum gratiosum,,Bousquet 2012,
D1,agohar,Agonum harrisii,,Bousquet 2012,
D1,agolut,Agonum lutulentum,,Bousquet 2012,
D1,agomel,Agonum melanarium,,Bousquet 2012,
D1,agomet,Agonum metallescens,,Bousquet 2012,
D1,agomoe,Agonum moerens,,Bousquet 2012,
D1,agomue,Agonum muelleri,,Bousquet 2012,
D1,agomut,Agonum mutatum,,Bousquet 2012,
D1,agonig,Agonum nigriceps,,Bousquet 2012,
D1,agonut,Agonum nutans,,Bousquet 2012,
D1,agooct,Agonum octopunctatum,,Bousquet 2012,
D1,agopal1,Agonum pallipes,,Bousquet 2012,
D1,agopal2,Agonum palustre,,Bousquet 2012,
D1,agopic1,Agonum piceolum,,Bousquet 2012,
D1,agopic2,Agonum picicornoides,,Bousquet 2012,
D1,agopla,Agonum placidum,,Bousquet 2012,
D1,agopro,Agonum propinquum,,Bousquet 2012,
D1,agopun,Agonum punctiforme,,Bousquet 2012,
D1,agoret,Agonum retractum,,Bousquet 2012,
D1,agorig,Agonum rigidulum,,Bousquet 2012,
D1,agorot1,Agonoleptus rotundatus,,Bousquet 2012,
D1,agorot2,Agonoleptus rotundicollis,,Bousquet 2012,
D1,agoruf,Agonum rufipes,,Bousquet 2012,
D1,agosor,Agonum sordens,,Bousquet 2012,
D1,agostr,Agonum striatopunctatum,,Bousquet 2012,
D1,agosup,Agonum superioris,,Bousquet 2012,
D1,agoten,Agonum tenue,,Bousquet 2012,
D1,agotho1,Agonoleptus thoracicus,,Bousquet 2012,
D1,agotho2,Agonum thoreyi,,Bousquet 2012,
D1,agotri,Agonum trigeminum,,Bousquet 2012,
D1,amaaen1,Amara aenea,,Bousquet 2012,
D1,amaaen2,Amara aeneopolita,,Bousquet 2012,
D1,amaalp,Amara alpina,,Bousquet 2012,
D1,amaang1,Amara angustata,,Bousquet 2012,
