unaccepted_synonym,accepted_synonym,spp_id,source_id
Calathus advena,Acalathus advena,acaadv,
Aephnidius opaculus,Anaulacus opaculus,anaopa,
Gnatholymnaeum spurcum,Bembidion spurcum,bemspu,
Atelothrus aaae,Blackburnia aaae,blaaaa,
Mesothriscus abax,Blackburnia abax,blaaba,
Disenochus agilis,Blackburnia agilis,blaagi,
Anchonymus agonoides,Blackburnia agonoides,blaago,
Mesothriscus alternans,Blackburnia alternans,blaalt,
Disenochus anomalus,Blackburnia anomala,blaano,
Disenochus aterrimus,Blackburnia aterrima,blaate,
Metromenus audax,Blackburnia audax,blaaud,
Metromenus bardus,Blackburnia barda,blabar,
Deropristus blaptoides,Blackburnia blaptoides,blabla,
Disenochus flavitarsus,Blackburnia brevipes,blabre,
Disenochus brevipes,Blackburnia brevipes,blabre,
Metromenus calathoides,Blackburnia calathoides,blacal2,
Metromenus caliginosus,Blackburnia caliginosa,blacal3,
Disenochus cephalotes,Blackburnia cephalotes,blacep,
Atelothrus cheloniceps,Blackburnia cheloniceps,blache,
Atelothrus constrictus,Blackburnia constricta,blacon,
Chalcomenus corruscus,Blackburnia corrusca,blacor,
Chalcomenus costatus,Blackburnia costata,blacos,
Metromenus cuneipennis,Blackburnia cuneipennis,blacun,
Disenochus curtipes,Blackburnia curtipes,blacur,
Atelothrus debilis,Blackburnia debilis,bladeb,
Atelothrus depressus depressus,Blackburnia depressa,bladep1,
Atelothrus depressus fuscipes,Blackburnia depressa fuscipes,bladep2,
Deropristus deroderus,Blackburnia derodera,blader,
Atelothrus dyscoleus,Blackburnia dyscolea,bladys,
Anchotefflus elegans,Blackburnia elegans,blaele,
Metromenus epicurus,Blackburnia epicurus,blaepi,
Atelothrus politus,Blackburnia erro,blaerr,
Atelothrus erro,Blackburnia erro,blaerr,
Disenochus erythropus,Blackburnia erythropus,blaery,
Atelothrus filipes,Blackburnia filipes,blafil,
Metromenus fossipennis,Blackburnia fossipennis,blafos,
Disenochus fractus,Blackburnia fracta,blafra1,
Atelothrus fractistriatus,Blackburnia fractistriata,blafra2,
Metromenus fraternus,Blackburnia fraterna,blafra3,
Metromenus scrupulosus,Blackburnia fraterna,blafra3,
Metromenus velox,Blackburnia fraterna,blafra3,
Metromenus aequalis,Blackburnia fraterna,blafra3,
Metromenus fraudator,Blackburnia fraudator,blafra4,
Mauna frigida,Blackburnia frigida,blafri,
Metromenus fugitivus,Blackburnia fugitiva,blafug,
Atelothrus gracilis,Blackburnia gracilis,blagra,
Mecostomus perkinsi,Blackburnia haleakala,blahal,
Colpocaccus hawaiiensis,Blackburnia hawaiiensis,blahaw,
Colpocaccus apicalis,Blackburnia hawaiiensis,blahaw,
Metromenus hilaris,Blackburnia hilaris,blahil,
Atelothrus howarthi,Blackburnia howarthi,blahow,
Barypristus incendiarius,Blackburnia incendiaria,blainc,
Atelothrus stenopus,Blackburnia insociabilis,blains2,
Atelothrus insociabilis,Blackburnia insociabilis,blains2,
Anchotefflus gracilis,Blackburnia kamehameha,blakam,
Mesothriscus kauaiensis,Blackburnia kauaiensis,blakau,
Mesothriscus hawaiiensis,Blackburnia kilauea,blakil,
Metromenus lentus,Blackburnia kilauea,blakil,
Atelothrus hawaiiensis,Blackburnia kilauea,blakil,
Atrachycnemis koebelei,Blackburnia koebelei,blakoe,
Mecomenus koebelei,Blackburnia komohana,blakom,
Colpocaccus lanaiensis,Blackburnia lanaiensis,blalan1,
Mesothriscus lanaiensis,Blackburnia lanaihalensis,blalan2,
Metromenus latifrons,Blackburnia latifrons,blalat,
Pseudobroscus lentus,Blackburnia lenta,blalen,
Metromenus limbatus,Blackburnia limbata,blalim,
Disenochus longipes,Blackburnia longipes,blalon1,
Atelothrus longulus,Blackburnia longula,blalon2,
Colpodiscus lucipetens,Blackburnia lucipetens,blaluc,
Colpodiscus lahainensis,Blackburnia lucipetens,blaluc,
Apteromesus maculatus,Blackburnia maculata,blamac,
Metromenus meticulosus,Blackburnia meticulosa,blamet1,
Atelothrus metromenoides,Blackburnia metromenoides,blamet2,
Disenochus micantipennis,Blackburnia micantipennis,blamic1,
Derobroscus politus,Blackburnia micans,blamic2,
Derobroscus solitarius,Blackburnia micans,blamic2,
Derobroscus micans,Blackburnia micans,blamic2,
Mesothriscus microps,Blackburnia microps,blamic3,
Metromenus moerens,Blackburnia moerens,blamoe,
Chalcomenus molokaiensis,Blackburnia molokaiensis,blamol,
Disenochus munroi,Blackburnia munroi,blamun,
Mesothriscus prognathus,Blackburnia muscicola,blamus,
Mesothriscus muscicola,Blackburnia muscicola,blamus,
Metromenus mutabilis,Blackburnia mutabilis,blamut,
Mysticomenus mysticus,Blackburnia mystica,blamys,
Metromenus oceanicus,Blackburnia oceanica,blaoce,
Baryneus sharpi,Blackburnia octoocellata,blaoct,
Mesothriscus opacus,Blackburnia opaca,blaopa,
Brosconymus optatus,Blackburnia optata,blaopt1,
Mesothriscus optimus,Blackburnia optima,blaopt2,
Metromenus palmae,Blackburnia palmae,blapal,
Metromenus pavidus,Blackburnia pavida,blapav,
Mesothriscus truncatus,Blackburnia pavida,blapav,
Atrachycnemis perkinsi,Blackburnia perkinsi,blaper1,
Metromenus perpolitus,Blackburnia perpolita,blaper2,
Atelothrus platynoides platynoides,Blackburnia platynoides,blapla,
Atelothrus platynoides flavipes,Blackburnia platynoides,blapla,
Colpocaccus posticatus,Blackburnia posticata,blapos,
Colpocaccus marginatus,Blackburnia posticata,blapos,
Metromenus protervus,Blackburnia proterva,blapro,
Metromenus angustifrons,Blackburnia proterva,blapro,
Deropristus puncticeps,Blackburnia puncticeps,blapun,
Mecomenus putealis,Blackburnia putealis,blaput,
Barypristus rupicola,Blackburnia rupicola,blarup,
Atrachycnemis sharpi,Blackburnia sharpi,blasha,
Atelothrus limbatus limbatus,Blackburnia sphodriformis,blasph,
Atelothrus longicollis,Blackburnia sphodriformis,blasph,
Mesothriscus collaris,Blackburnia sphodriformis,blasph,
Mesothriscus collaris,Blackburnia sphodriformis,blasph,
Metromenus cinctus,Blackburnia sphodriformis,blasph,
Metromenus sphodriformis,Blackburnia sphodriformis,blasph,
Atelothrus limbatus concolor,Blackburnia sphodriformis,blasph,
Disenochus sulcipennis,Blackburnia sulcipennis,blasul,
Colpocaccus tantalus,Blackburnia tantalus,blatan,
