taxon_id,spp_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name,species_level_id,coarse_distro_reference,addition_tax_reference,date_updated
beetle,abaspl,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Abaris splendidula,Abaris,,splendidula,,LeConte,1863,,,,Larochelle 2003,,4/8/2013
beetle,acucan,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus canadensis,Acupalpus,,canadensis,,Casey,1924,111111,,,Larochelle 2003,,4/8/2013
beetle,acucar,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus carus,Acupalpus,,carus,,LeConte,1863,111108,,,Larochelle 2003,,4/8/2013
beetle,acuhyd,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus hydropicus,Acupalpus,,hydropicus,,LeConte,1863,111112,,,Larochelle 2003,,4/8/2013
beetle,acuind,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus indistinctus,Acupalpus,,indistinctus,,Dejean,1831,111113,,,Larochelle 2003,,4/8/2013
beetle,acumer,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus meridianus,Acupalpus,,meridianus,,Linnaeus,1761,111107,,,Larochelle 2003,,4/8/2013
beetle,acunan,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus nanellus,Acupalpus,,nanellus,,Casey,1914,111110,,,Larochelle 2003,,4/8/2013
beetle,acupar,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus partiarius,Acupalpus,,partiarius,,Say,1823,111115,,,Larochelle 2003,,4/8/2013
beetle,acupau,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus pauperculus,Acupalpus,,pauperculus,,Dejean,1829,111114,,,Larochelle 2003,,4/8/2013
beetle,acupum,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus pumilus,Acupalpus,,pumilus,,Lindroth,1968,111109,,,Larochelle 2003,,4/8/2013
beetle,acupun,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus punctulatus,Acupalpus,,punctulatus,,Hatch,1953,111122,,,Larochelle 2003,,4/8/2013
beetle,acuten,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus tener,Acupalpus,,tener,,LeConte,1857,111120,,,Larochelle 2003,,4/8/2013
beetle,acutes,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Acupalpus testaceus,Acupalpus,,testaceus,,Dejean,1829,111116,,,Larochelle 2003,,4/8/2013
beetle,agoaer,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum aeruginosum,Agonum,,aeruginosum,,Dejean,1828,,,,Larochelle 2003,,4/8/2013
beetle,agoaff,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum affine,Agonum,,affine,,Kirby,1837,110245,,,Larochelle 2003,,4/8/2013
beetle,agoalb,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum albicrus,Agonum,,albicrus,,Dejean,1828,110246,,,Larochelle 2003,,4/8/2013
beetle,agoanc,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum anchomenoides,Agonum,,anchomenoides,,Randall,1838,110250,,,Larochelle 2003,,4/8/2013
beetle,agoant,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum anthracinum,Agonum,,anthracinum,,Dejean,1831,110252,,,Larochelle 2003,,4/8/2013
beetle,agobas,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum basale,Agonum,,basale,,LeConte,1848,110257,,,Larochelle 2003,,4/8/2013
beetle,agobel,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum belleri,Agonum,,belleri,,Hatch,1933,110256,,,Larochelle 2003,,4/8/2013
beetle,agobic,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Agonum bicolor,Agonum,,bicolor,,Dejean,1828,110258,,,Larochelle 2003,,4/8/2013
beetle,agobre,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum brevicolle,Agonum,,brevicolle,,Dejean,1828,110284,,,Larochelle 2003,,4/8/2013
beetle,agocan,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum canadense,Agonum,,canadense,,Goulet,1969,110260,,,Larochelle 2003,,4/8/2013
beetle,agocol,http://www.mendeley.com/research/systematic-list-of-ground-beetles,Agonum collare,Agonum,,collare,,Say,1830,110263,,,Larochelle 2003,,4/8/2013
