taxon_id,spp_id,resource_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name,species_level_id
beetle,Taclut,BishopMuseum_2002,Tachys luteus,Tachys,,luteus,,Andrewes,,186088,,1
beetle,Bemspa,Wolcott_1948,Bembidion sparsum,Bembidion,,sparsum,,Bates,,110100,,1
beetle,Tefjam,BishopMuseum_2002,Tefflus jamesoni,Tefflus,,jamesoni,,Bates,,186364,,1
beetle,Ateerr,BishopMuseum_2002,Atelothrus erro,Atelothrus,,erro,,Blackburn,,186130,,1
beetle,Ateins,BishopMuseum_2002,Atelothrus insociabilis,Atelothrus,,insociabilis,,Blackburn,,186135,,1
beetle,Atrsha,BishopMuseum_2002,Atrachycnemis sharpi,Atrachycnemis,,sharpi,,Blackburn,,186149,,1
beetle,Barsha,BishopMuseum_2002,Baryneus sharpi,Baryneus,,sharpi,,Blackburn,,186151,,1
beetle,Barinc,BishopMuseum_2002,Barypristus incendiarius,Barypristus,,incendiarius,,Blackburn,,186153,,1
beetle,Barrup,BishopMuseum_2002,Barypristus rupicola,Barypristus,,rupicola,,Blackburn,,186154,,1
beetle,Bemign,BishopMuseum_2002,Bembidion ignicola,Bembidion,,ignicola,,Blackburn,,186097,,1
beetle,Bempac,BishopMuseum_2002,Bembidion pacificum,Bembidion,,pacificum,,Blackburn,,186106,,1
beetle,Bemter,BishopMuseum_2002,Bembidion teres,Bembidion,,teres,,Blackburn,,186110,,1
beetle,Coltan,BishopMuseum_2002,Colpocaccus tantalus,Colpocaccus,,tantalus,,Blackburn,,186171,,1
beetle,Colluc,BishopMuseum_2002,Colpodiscus lucipetens,Colpodiscus,,lucipetens,,Blackburn,,186174,,1
beetle,Derbla,BishopMuseum_2002,Deropristus blaptoides,Deropristus,,blaptoides,,Blackburn,,186184,,1
beetle,Disano,BishopMuseum_2002,Disenochus anomalus,Disenochus,,anomalus,,Blackburn,,186189,,1
beetle,Gnaspu,BishopMuseum_2002,Gnatholymnaeum spurcum,Gnatholymnaeum,,spurcum,,Blackburn,,186211,,1
beetle,Maufri,BishopMuseum_2002,Mauna frigida,Mauna,,frigida,,Blackburn,,186215,,1
beetle,Mecput,BishopMuseum_2002,Mecomenus putealis,Mecomenus,,putealis,,Blackburn,,,,1
beetle,Mecang,BishopMuseum_2002,Mecyclothorax angusticollis,Mecyclothorax,,angusticollis,,Blackburn,,186221,,1
beetle,Mecbem2,BishopMuseum_2002,Mecyclothorax bembidioides,Mecyclothorax,,bembidioides,,Blackburn,,186226,,1
beetle,Mecbre,BishopMuseum_2002,Mecyclothorax brevis,Mecyclothorax,,brevis,,Blackburn,,186230,,1
beetle,Meccor,BishopMuseum_2002,Mecyclothorax cordaticollis,Mecyclothorax,,cordaticollis,,Blackburn,,186235,,1
beetle,Mecdev,BishopMuseum_2002,Mecyclothorax deverilli,Mecyclothorax,,deverilli,,Blackburn,,186241,,1
beetle,Mecina,BishopMuseum_2002,Mecyclothorax inaequalis,Mecyclothorax,,inaequalis,,Blackburn,,186249,,1
