Abax parallelepipedus,Piller & Mitterpacher
Acupalpus meridianus,Linnaeus
Agonum muelleri,Herbst
Amara aenea,DeGeer
Amara anthobia,Villa & Villa
Amara apricaria,Paykull
Amara aulica,Panzer
Amara bifrons,Gyllenhal
Amara communis,Panzer
Amara eurynota,Panzer
Amara familiaris,Duftschmid
Amara fulva,O.F. Müller
Amara ovata,Fabricius
Anisodactylus binotatus,Fabricius
Asaphidion curtum curtum,Heyden
Bembidion bruxellense,Wesmael
Bembidion femoratum femoratum,Sturm
Bembidion lampros,Herbst
Bembidion nigropiceum,Marsham
Bembidion obtusum,Audinet-Serville
Bembidion properans,Stephens
Bembidion stephensii,Crotch
Bembidion tetracolum tetracolum,Say
Blemus discus discus,Fabricius
Bradycellus harpalinus,Audinet-Serville
Broscus cephalotes,Linnaeus
Calathus fuscipes,Goeze
Calosoma sycophanta,Linnaeus
Carabus auratus auratus,Linnaeus
Carabus granulatus granulatus,Linnaeus
Carabus nemoralis nemoralis,O.F. Müller
Clivina collaris,Herbst
Clivina fossor fossor,Linnaeus
Clivina vespertina,Putzeys
Dromius fenestratus,Fabricius
Dyschirius globosus,Herbst
Elaphropus parvulus,Dejean
Harpalus affinis,Schrank
Harpalus rubripes,Duftschmid
Harpalus rufipes,DeGeer
Laemostenus complanatus,Dejean
Laemostenus terricola terricola,Herbst
Leistus ferrugineus,Linnaeus
Metacolpodes buchanani,Hope
Mochtherus tetraspilotus,Macleay
Nebria brevicollis,Fabricius
Notiophilus biguttatus,Fabricius
Notiophilus palustris,Duftschmid
Ophonus puncticeps,Stephens
Ophonus rufibarbis,Fabricius
Paranchus albipes,Fabricius
Perigona nigriceps,Dejean
Philorhizus melanocephalus,Dejean
Plochionus pallens,Fabricius
Porotachys bisulcatus,Nicolai
Pterostichus melanarius melanarius,Illiger
Pterostichus strenuus,Panzer
Pterostichus vernalis,Panzer
Somotrichus unifasciatus,Dejean
Stomis pumicatus,Panzer
Tetragonoderus laevigatus,Chaudoir
Trechus obtusus,Erichson
Trechus quadristriatus,Schrank
Trechus rubens,Fabricius
