taxon_id, spp_id, source_id, scientific_name, common_name, order_name, family_name
bird,ostric1,ebird,Struthio camelus,Ostrich,Struthioniformes,Struthionidae (Ostrich)
bird,grerhe1,ebird,Rhea americana,Greater Rhea,Struthioniformes,Rheidae (Rheas)
bird,lesrhe2,ebird,Rhea pennata,Lesser Rhea,Struthioniformes,Rheidae (Rheas)
bird,soucas1,ebird,Casuarius casuarius,Southern Cassowary,Struthioniformes,Casuariidae (Cassowaries)
bird,dwacas1,ebird,Casuarius bennetti,Dwarf Cassowary,Struthioniformes,Casuariidae (Cassowaries)
bird,norcas1,ebird,Casuarius unappendiculatus,Northern Cassowary,Struthioniformes,Casuariidae (Cassowaries)
bird,emu1,ebird,Dromaius novaehollandiae,Emu,Struthioniformes,Dromaiidae (Emu)
bird,kiiemu1,ebird,Dromaius ater,King Island Emu,Struthioniformes,Dromaiidae (Emu)
bird,sobkiw1,ebird,Apteryx australis,Southern Brown Kiwi,Struthioniformes,Apterygidae (Kiwis)
bird,okbkiw1,ebird,Apteryx rowi,Okarito Brown Kiwi,Struthioniformes,Apterygidae (Kiwis)
bird,nibkiw1,ebird,Apteryx mantelli,North Island Brown Kiwi,Struthioniformes,Apterygidae (Kiwis)
bird,liskiw1,ebird,Apteryx owenii,Little Spotted Kiwi,Struthioniformes,Apterygidae (Kiwis)
bird,grskiw1,ebird,Apteryx haastii,Great Spotted Kiwi,Struthioniformes,Apterygidae (Kiwis)
bird,tabtin1,ebird,Nothocercus julius,Tawny-breasted Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,higtin1,ebird,Nothocercus bonapartei,Highland Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,hootin1,ebird,Nothocercus nigrocapillus,Hooded Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,grytin1,ebird,Tinamus tao,Gray Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,soltin1,ebird,Tinamus solitarius,Solitary Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,blatin1,ebird,Tinamus osgoodi,Black Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,gretin1,ebird,Tinamus major,Great Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,whttin1,ebird,Tinamus guttatus,White-throated Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,cintin1,ebird,Crypturellus cinereus,Cinereous Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,bertin1,ebird,Crypturellus berlepschi,Berlepsch's Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,littin1,ebird,Crypturellus soui,Little Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,teptin1,ebird,Crypturellus ptaritepui,Tepui Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,brotin1,ebird,Crypturellus obsoletus,Brown Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,undtin1,ebird,Crypturellus undulatus,Undulated Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,pabtin1,ebird,Crypturellus transfasciatus,Pale-browed Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,bratin1,ebird,Crypturellus strigulosus,Brazilian Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,gyltin1,ebird,Crypturellus duidae,Gray-legged Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,reltin1,ebird,Crypturellus erythropus,Red-legged Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,yeltin1,ebird,Crypturellus noctivagus,Yellow-legged Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,blctin1,ebird,Crypturellus atrocapillus,Black-capped Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,slbtin1,ebird,Crypturellus boucardi,Slaty-breasted Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,chotin1,ebird,Crypturellus kerriae,Choco Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,vartin1,ebird,Crypturellus variegatus,Variegated Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,thitin1,ebird,Crypturellus cinnamomeus,Thicket Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,rustin1,ebird,Crypturellus brevirostris,Rusty Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,bartin2,ebird,Crypturellus bartletti,Bartlett's Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,smbtin1,ebird,Crypturellus parvirostris,Small-billed Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,bartin1,ebird,Crypturellus casiquiare,Barred Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,tattin1,ebird,Crypturellus tataupa,Tataupa Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,rewtin1,ebird,Rhynchotus rufescens,Red-winged Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,huatin1,ebird,Rhynchotus maculicollis,Huayco Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,tactin1,ebird,Nothoprocta taczanowskii,Taczanowski's Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,orntin1,ebird,Nothoprocta ornata,Ornate Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,chitin1,ebird,Nothoprocta perdicaria,Chilean Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,brutin1,ebird,Nothoprocta cinerascens,Brushland Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,andtin1,ebird,Nothoprocta pentlandii,Andean Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,cubtin1,ebird,Nothoprocta curvirostris,Curve-billed Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,whbnot1,ebird,Nothura boraquira,White-bellied Nothura,Tinamiformes,Tinamidae (Tinamous)
bird,lesnot1,ebird,Nothura minor,Lesser Nothura,Tinamiformes,Tinamidae (Tinamous)
bird,darnot1,ebird,Nothura darwinii,Darwin's Nothura,Tinamiformes,Tinamidae (Tinamous)
bird,sponot1,ebird,Nothura maculosa,Spotted Nothura,Tinamiformes,Tinamidae (Tinamous)
bird,chanot1,ebird,Nothura chacoensis,Chaco Nothura,Tinamiformes,Tinamidae (Tinamous)
bird,dwatin1,ebird,Taoniscus nanus,Dwarf Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,elctin1,ebird,Eudromia elegans,Elegant Crested-Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,quctin1,ebird,Eudromia formosa,Quebracho Crested-Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,puntin1,ebird,Tinamotis pentlandii,Puna Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,pattin1,ebird,Tinamotis ingoufi,Patagonian Tinamou,Tinamiformes,Tinamidae (Tinamous)
bird,horscr1,ebird,Anhima cornuta,Horned Screamer,Anseriformes,Anhimidae (Screamers)
bird,souscr1,ebird,Chauna torquata,Southern Screamer,Anseriformes,Anhimidae (Screamers)
bird,norscr1,ebird,Chauna chavaria,Northern Screamer,Anseriformes,Anhimidae (Screamers)
bird,maggoo1,ebird,Anseranas semipalmata,Magpie Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,spwduc1,ebird,Dendrocygna guttata,Spotted Whistling-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,plwduc1,ebird,Dendrocygna eytoni,Plumed Whistling-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,wfwduc1,ebird,Dendrocygna viduata,White-faced Whistling-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,bbwduc,ebird,Dendrocygna autumnalis,Black-bellied Whistling-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,wiwduc1,ebird,Dendrocygna arborea,West Indian Whistling-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,fuwduc,ebird,Dendrocygna bicolor,Fulvous Whistling-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,wawduc1,ebird,Dendrocygna arcuata,Wandering Whistling-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,lewduc1,ebird,Dendrocygna javanica,Lesser Whistling-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,whbduc1,ebird,Thalassornis leuconotus,White-backed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,swagoo1,ebird,Anser cygnoides,Swan Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,taibeg1,ebird,Anser fabalis,Taiga Bean-Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,tunbeg1,ebird,Anser serrirostris,Tundra Bean-Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,pifgoo,ebird,Anser brachyrhynchus,Pink-footed Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,gwfgoo,ebird,Anser albifrons,Greater White-fronted Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,lwfgoo,ebird,Anser erythropus,Lesser White-fronted Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,gragoo,ebird,Anser anser,Graylag Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,bahgoo,ebird,Anser indicus,Bar-headed Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,empgoo,ebird,Chen canagica,Emperor Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,snogoo,ebird,Chen caerulescens,Snow Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,rosgoo,ebird,Chen rossii,Ross's Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,brant,ebird,Branta bernicla,Brant,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,bargoo,ebird,Branta leucopsis,Barnacle Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,cacgoo1,ebird,Branta hutchinsii,Cackling Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,cangoo,ebird,Branta canadensis,Canada Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,hawgoo,ebird,Branta sandvicensis,Hawaiian Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,rebgoo1,ebird,Branta ruficollis,Red-breasted Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,cabgoo1,ebird,Cereopsis novaehollandiae,Cape Barren Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,freduc1,ebird,Stictonetta naevosa,Freckled Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,buwgoo1,ebird,Cyanochen cyanoptera,Blue-winged Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,mutswa,ebird,Cygnus olor,Mute Swan,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,blkswa,ebird,Cygnus atratus,Black Swan,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,blnswa2,ebird,Cygnus melancoryphus,Black-necked Swan,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,truswa,ebird,Cygnus buccinator,Trumpeter Swan,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,tunswa,ebird,Cygnus columbianus,Tundra Swan,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,whoswa,ebird,Cygnus cygnus,Whooper Swan,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,cosswa1,ebird,Coscoroba coscoroba,Coscoroba Swan,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,comduc1,ebird,Sarkidiornis melanotos,Comb Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,harduc1,ebird,Pteronetta hartlaubii,Hartlaub's Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,andgoo1,ebird,Chloephaga melanoptera,Andean Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,uplgoo1,ebird,Chloephaga picta,Upland Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,kelgoo1,ebird,Chloephaga hybrida,Kelp Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,ashgoo1,ebird,Chloephaga poliocephala,Ashy-headed Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,ruhgoo1,ebird,Chloephaga rubidiceps,Ruddy-headed Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,origoo1,ebird,Neochen jubata,Orinoco Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,egygoo,ebird,Alopochen aegyptiaca,Egyptian Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,rudshe,ebird,Tadorna ferruginea,Ruddy Shelduck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,soashe1,ebird,Tadorna cana,South African Shelduck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,ausshe1,ebird,Tadorna tadornoides,Australian Shelduck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,parshe1,ebird,Tadorna variegata,Paradise Shelduck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,comshe,ebird,Tadorna tadorna,Common Shelduck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,radshe1,ebird,Tadorna radjah,Radjah Shelduck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,creshe1,ebird,Tadorna cristata,Crested Shelduck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,spwgoo1,ebird,Plectropterus gambensis,Spur-winged Goose,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,flystd1,ebird,Tachyeres patachonicus,Flying Steamer-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,flistd1,ebird,Tachyeres pteneres,Flightless Steamer-Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
