"","taxon_id","spp_id","source_id","scientific_name","genus","subgenus","species","subspecies","authority_name","authority_year","itis_number","common_name"
"1","herps","acr_cre","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Acris crepitans","Acris",NA,"crepitans",NA,"Baird",1854,NA,"Northern Cricket Frog"
"2","herps","acr_cre2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Acris crepitans crepitans","Acris",NA,"crepitans","crepitans","Baird",1854,NA,"Eastern Cricket Frog"
"3","herps","acr_cre3","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Acris crepitans paludicola","Acris",NA,"crepitans","paludicola","Burger and Smith",1949,NA,"Coastal Cricket Frog"
"4","herps","acr_gry","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Acris gryllus","Acris",NA,"gryllus",NA,"LeConte",1825,NA,"Southern Cricket Frog"
"5","herps","acr_gry2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Acris gryllus dorsalis","Acris",NA,"gryllus","dorsalis","Harlan",1827,NA,"Florida Cricket Frog"
"6","herps","acr_gry3","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Acris gryllus gryllus","Acris",NA,"gryllus","gryllus","LeConte",1825,NA,"Coastal Plain Cricket Frog"
"7","herps","acr_jav","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Acrochordus javanicus","Acrochordus",NA,"javanicus",NA,"Hornstedt",1787,NA,"Javanese File Snake"
"8","herps","act_mar","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Actinemys marmorata","Actinemys",NA,"marmorata",NA,"Baird and Girard",1852,NA,"Western Pond Turtle"
"9","herps","aga_aga","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Agama agama","Agama",NA,"agama",NA,"Linnaeus",1758,NA,"African Rainbow Lizard"
"10","herps","aga_aga2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Agama agama africana","Agama",NA,"agama","africana","Hallowell",1844,NA,"West African Rainbow Lizard"
"11","herps","agk_con","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Agkistrodon contortrix","Agkistrodon",NA,"contortrix",NA,"Linnaeus",1766,NA,"Copperhead"
"12","herps","agk_con2","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Agkistrodon contortrix contortrix","Agkistrodon",NA,"contortrix","contortrix","Linnaeus",1766,NA,"Southern Copperhead"
"13","herps","agk_con3","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Agkistrodon contortrix laticinctus","Agkistrodon",NA,"contortrix","laticinctus","Gloyd and Conant",1934,NA,"Broad-banded Copperhead"
"14","herps","agk_con4","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Agkistrodon contortrix mokasen","Agkistrodon",NA,"contortrix","mokasen","Palisot de Beauvois",1799,NA,"Northern Copperhead"
"15","herps","agk_con5","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Agkistrodon contortrix phaeogaster","Agkistrodon",NA,"contortrix","phaeogaster","Gloyd",1969,NA,"Osage Copperhead"
