taxon_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris crepitans,Acris,,crepitans,,Baird,1854,,Northern Cricket Frog
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris crepitans crepitans,Acris,,crepitans,crepitans,Baird,1854,,Eastern Cricket Frog
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris crepitans paludicola,Acris,,crepitans,paludicola,Burger and Smith,1949,,Coastal Cricket Frog
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris gryllus,Acris,,gryllus,,LeConte,1825,,Southern Cricket Frog
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris gryllus dorsalis,Acris,,gryllus,dorsalis,Harlan,1827,,Florida Cricket Frog
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris gryllus gryllus,Acris,,gryllus,gryllus,LeConte,1825,,Coastal Plain Cricket Frog
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acrochordus javanicus,Acrochordus,,javanicus,,Hornstedt,1787,,Javanese File Snake
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Actinemys marmorata,Actinemys,,marmorata,,Baird and Girard,1852,,Western Pond Turtle
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agama agama,Agama,,agama,,Linnaeus,1758,,African Rainbow Lizard
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agama agama africana,Agama,,agama,africana,Hallowell,1844,,West African Rainbow Lizard
