taxon_id,spp_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name
check,acr_bla,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris blanchardi,Acris,,blanchardi,,Harper,1947,,Blanchards Cricket Frog
check,acr_cre,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris crepitans,Acris,,crepitans,,Baird,1854,,Northern Cricket Frog
check,acr_cre2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris crepitans crepitans,Acris,,crepitans,crepitans,Baird,1854,,Eastern Cricket Frog
check,acr_gry,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris gryllus,Acris,,gryllus,,LeConte,1825,,Southern Cricket Frog
check,acr_gry2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris gryllus dorsalis,Acris,,gryllus,dorsalis,Harlan,1827,,Florida Cricket Frog
check,acr_gry3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acris gryllus gryllus,Acris,,gryllus,gryllus,LeConte,1825,,Coastal Plain Cricket Frog
check,acr_jav,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Acrochordus javanicus,Acrochordus,,javanicus,,Hornstedt,1787,,Javanese File Snake
check,act_mar,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Actinemys marmorata,Actinemys,,marmorata,,Baird and Girard,1852,,Western Pond Turtle
check,aga_aga,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agama agama,Agama,,agama,,Linnaeus,1758,,African Rainbow Lizard
check,aga_aga2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agama agama africana,Agama,,agama,africana,Hallowell,1844,,West African Rainbow Lizard
check,agk_con,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix,Agkistrodon,,contortrix,,Linnaeus,1766,,Copperhead
check,agk_con2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix contortrix,Agkistrodon,,contortrix,contortrix,Linnaeus,1766,,Southern Copperhead
check,agk_con3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix laticinctus,Agkistrodon,,contortrix,laticinctus,Gloyd and Conant,1934,,Broad-banded Copperhead
check,agk_con4,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix mokasen,Agkistrodon,,contortrix,mokasen,Palisot de Beauvois,1799,,Northern Copperhead
check,agk_con5,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix phaeogaster,Agkistrodon,,contortrix,phaeogaster,Gloyd,1969,,Osage Copperhead
check,agk_con6,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix pictigaster,Agkistrodon,,contortrix,pictigaster,Gloyd and Conant,1943,,Trans-Pecos Copperhead
check,agk_pis,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon piscivorus,Agkistrodon,,piscivorus,,Lacepide,1789,,Cottonmouth
check,agk_pis2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon piscivorus conanti,Agkistrodon,,piscivorus,conanti,Gloyd,1969,,Florida Cottonmouth
check,agk_pis3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon piscivorus leucostoma,Agkistrodon,,piscivorus,leucostoma,Troost,1836,,Western Cottonmouth
check,agk_pis4,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon piscivorus piscivorus,Agkistrodon,,piscivorus,piscivorus,Lacepide,1789,,Eastern Cottonmouth
check,all_mis,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Alligator mississippiensis,Alligator,,mississippiensis,,Daudin,1801,,American Alligator
check,amb_ann,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma annulatum,Ambystoma,,annulatum,,Cope,1886,,Ringed Salamander
check,amb_bar,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma barbouri,Ambystoma,,barbouri,,Kraus and Petranka,1989,,Streamside Salamander
check,amb_bis,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma bishopi,Ambystoma,,bishopi,,Goin,1950,,Reticulated Flatwoods Salamander
check,amb_cal,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma californiense,Ambystoma,,californiense,,Gray,1853,,California Tiger Salamander
check,amb_cin,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma cingulatum,Ambystoma,,cingulatum,,Cope,1868,,Frosted Flatwoods Salamander
check,amb_gra,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma gracile,Ambystoma,,gracile,,Baird,1859,,Northwestern Salamander
check,amb_jef,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma jeffersonianum,Ambystoma,,jeffersonianum,,Green,1827,,Jefferson Salamander
check,amb_lat,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma laterale,Ambystoma,,laterale,,Hallowell,1856,,Blue-spotted Salamander
check,amb_mab,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mabeei,Ambystoma,,mabeei,,Bishop,1928,,Mabee's Salamander
check,amb_mac,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum,Ambystoma,,macrodactylum,,Baird,1849,,Long-toed Salamander
check,amb_mac2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum columbianum,Ambystoma,,macrodactylum,columbianum,Ferguson,1961,,Eastern Long-toed Salamander
check,amb_mac3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum croceum,Ambystoma,,macrodactylum,croceum,Russell and Anderson,1956,,Santa Cruz Long-toed
check,amb_mac4,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum krausei,Ambystoma,,macrodactylum,krausei,Peters,1882,,Northern Long-toed Salamander
check,amb_mac5,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum macrodactylum,Ambystoma,,macrodactylum,macrodactylum,Baird,1849,,Western Long-toed Salamander
check,amb_mac6,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma macrodactylum sigillatum,Ambystoma,,macrodactylum,sigillatum,Ferguson,1961,,Southern Long-toed Salamander
check,amb_mac7,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma maculatum,Ambystoma,,maculatum,,Shaw,1802,,Spotted Salamander
check,amb_mav,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium,Ambystoma,,mavortium,,Baird,1850,,Barred Tiger Salamander
check,amb_mav2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium diaboli,Ambystoma,,mavortium,diaboli,Dunn,1940,,Gray Tiger Salamander
check,amb_mav4,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium mavortium,Ambystoma,,mavortium,mavortium,Baird,1850,,Barred Tiger Salamander
check,amb_mav3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium melanostictum,Ambystoma,,mavortium,melanostictum,Baird,1860,,Blotched Tiger Salamander
check,amb_mav5,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium nebulosum,Ambystoma,,mavortium,nebulosum,Hallowell,1852,,Arizona Tiger Salamander
check,amb_mav6,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma mavortium stebbinsi,Ambystoma,,mavortium,stebbinsi,Lowe,1954,,Sonoran Tiger Salamander
check,amb_opa,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma opacum,Ambystoma,,opacum,,Gravenhorst,1807,,Marbled Salamander
check,amb_tal,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma talpoideum,Ambystoma,,talpoideum,,Holbrook,1838,,Mole Salamander
check,amb_tex,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma texanum,Ambystoma,,texanum,,Matthes,1855,,Small-mouthed Salamander
check,amb_tig,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma tigrinum,Ambystoma,,tigrinum,,Green,1825,,Eastern Tiger Salamander
check,ame_ame,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ameiva ameiva,Ameiva,,ameiva,,Linnaeus,1758,,Giant Ameiva
check,ame_exs,http://www.itis.gov/,Ameiva exsul,Ameiva,,exsul,,,,,
check,ame_exs1,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva exsul alboguttata,Ameiva,,exsul,alboguttata,Boulenger,1896,,Puerto Rican Ground Lizard
check,ame_exs2,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva exsul desechensis,Ameiva,,exsul,desechensis,Heatwole and Torres,1967,,Puerto Rican Ground Lizard
check,ame_exs3,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva exsul exsul,Ameiva,,exsul,exsul,Cope,1863,,Puerto Rican Ground Lizard
check,ame_pra,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ameiva praesignis,Ameiva,,praesignis,,Baird and Girard,1852,,Borriguerro Ameiva
check,ame_wet,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva wetmorei,Ameiva,,wetmorei,,Stejneger,1913,,Blue-Tailed Ground Lizard
check,amp_bak,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena bakeri,Amphisbaena,,bakeri,,Stejneger,1904,,Baker's Worm Lizard
check,amp_cae,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena caeca,Amphisbaena,,caeca,,Cuvier,1829,,Puerto Rican Worm Lizard
check,amp_sch,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena schmidti,Amphisbaena,,schmidti,,Gans,1964,,Schmidt's Worm Lizard
check,amp_xer,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena xera,Amphisbaena,,xera,,Thomas,1966,,Puerto Rican Dryland Worm Lizard
check,amp_mea,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Amphiuma means,Amphiuma,,means,,Garden,1821,,Two-toed Amphiuma
check,amp_pho,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Amphiuma pholeter,Amphiuma,,pholeter,,Neill,1964,,One-toed Amphiuma
check,amp_tri,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Amphiuma tridactylum,Amphiuma,,tridactylum,,Cuvier,1827,,Three-toed Amphiuma
check,ana_ame,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus americanus,Anaxyrus,,americanus,,Holbrook,1836,,American Toad
check,ana_ame2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus americanus americanus,Anaxyrus,,americanus,americanus,Holbrook,1836,,Eastern American Toad
check,ana_ame3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus americanus charlesmithi,Anaxyrus,,americanus,charlesmithi,Bragg,1954,,Dwarf American Toad
check,ana_bax,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus baxteri,Anaxyrus,,baxteri,,Porter,1968,,Wyoming Toad
check,ana_bor,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus boreas,Anaxyrus,,boreas,,Baird and Girard,1852,,Western Toad
check,ana_cal,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus californicus,Anaxyrus,,californicus,,Camp,1915,,Arroyo Toad
check,ana_can,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus canorus,Anaxyrus,,canorus,,Camp,1916,,Yosemite Toad
check,ana_cog,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus cognatus,Anaxyrus,,cognatus,,Say,1823,,Great Plains Toad
check,ana_deb,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus debilis,Anaxyrus,,debilis,,Girard,1854,,Green Toad
check,ana_deb2,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus debilis debilis,Anaxyrus,,debilis,debilis,Girard,1854,,Eastern Green Toad
check,ana_deb3,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus debilis insidior,Anaxyrus,,debilis,insidior,Girard,1854,,Western Green Toad
check,ana_exs,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus exsul,Anaxyrus,,exsul,,Myers,1942,,Black Toad
check,ana_fow,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus fowleri,Anaxyrus,,fowleri,,Hinckley,1882,,Fowler's Toad
check,ana_hem,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus hemiophrys,Anaxyrus,,hemiophrys,,Cope,1886,,Canadian Toad
check,ana_hou,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Anaxyrus houstonensis,Anaxyrus,,houstonensis,,Sanders,1953,,Houston Toad
