taxon_id,spp_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name
herps,bor_por1,http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/,Borikenophis portoricensis aphantus,Borikenophis,,portoricensis,aphantus,Schwartz,1966,Puerto Rican Racer,
herps,bor_por2,http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/,Borikenophis portoricensis portoricensis,Borikenophis,,portoricensis,portoricensis,Reinhardt & Lutken,1862,Puerto Rican Racer,
herps,bor_por3,http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/,Borikenophis portoricensis prymnus,Borikenophis,,portoricensis,prymnus,Schwartz,1966,Puerto Rican Racer,
herps,bor_por4,http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/,Borikenophis portoricensis richardi,Borikenophis,,portoricensis,richardi,Grant,1946,Puerto Rican Racer,
herps,bor_var,http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/,Borikenophis variegatus,Borikenophis,,variegatus,,Schmidt,1926,Puerto Rican Racer,
herps,mag_exi1,http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/,Magliophis exiguus exiguus,Magliophis,,exiguus,exiguus,Cope,1863,Ground Snake,
herps,mag_exi2,http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/,Magliophis exiguus subspadix,Magliophis,,exiguus,subspadix,Schwartz,1967,Ground Snake,
herps,mag_exi3,http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/,Magliophis stahli,Magliophis,,exiguus,stahli,Stejneger,1904,Garden Snake,
herps,spo_cul,http://www.mendeley.com/c/5682076084/g/2058663/hedges-2012-a-new-skink-fauna-from-caribbean-islands-squamata-mabuyidae-mabuyinae/,Spondylurus culebrae,Spondylurus,,culebrae,,Hedges and Conn,2012,Culebra Skink,
herps,spo_mon1,http://www.mendeley.com/c/5682076084/g/2058663/hedges-2012-a-new-skink-fauna-from-caribbean-islands-squamata-mabuyidae-mabuyinae/,Spondylurus monae,Spondylurus,,monae,,Hedges and Conn,2012,Mona Skink,
herps,spo_mon2,http://www.mendeley.com/c/5682076084/g/2058663/hedges-2012-a-new-skink-fauna-from-caribbean-islands-squamata-mabuyidae-mabuyinae/,Spondylurus monitae,Spondylurus,,monitae,,Hedges and Conn,2012,Monito Skink,
herps,spo_nit,http://www.mendeley.com/c/5682076084/g/2058663/hedges-2012-a-new-skink-fauna-from-caribbean-islands-squamata-mabuyidae-mabuyinae/,Spondylurus nitidus,Spondylurus,,nitidus,,Garman,1887,Puerto Rican Skink,
herps,ame_exs1,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva exsul alboguttata,Ameiva,,exsul,alboguttata,Boulenger,1896,Puerto Rican Ground Lizard,
herps,ame_exs2,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva exsul desechensis,Ameiva,,exsul,desechensis,Heatwole and Torres,1967,Puerto Rican Ground Lizard,
herps,ame_exs3,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva exsul exsul,Ameiva,,exsul,exsul,Cope,1863,Puerto Rican Ground Lizard,
herps,ame_wet,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Ameiva wetmorei,Ameiva,,wetmorei,,Stejneger,1913,Blue-Tailed Ground Lizard,
herps,amp_bak,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena bakeri,Amphisbaena,,bakeri,,Stejneger,1904,Baker's Worm Lizard,
herps,amp_cae,http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,Amphisbaena caeca,Amphisbaena,,caeca,,Cuvier,1829,Puerto Rican Worm Lizard,
