taxon_id,source_id_family_up,kingdom,subkingdom,superdivision,phylum_or_division,subdivision,class,subclass,order_name,family,family_common,source_id_subfamily_down,subfamily,tribe,genus,notes
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Harpalinae,Pterostichini,Abaris,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Harpalinae,Pterostichini,Abax,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Harpalinae,Harpalini,Acupalpus,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Harpalinae,Harpalini,Agonoleptus,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Harpalinae,Platynini,Agonum,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Harpalinae,Lebiini,Agra,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Scaritinae,Dyschiriini,Akephorus,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Harpalinae,Zabrini,Amara,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Cicindelinae,Amblycheilini,Amblycheila,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Harpalinae,Harpalini,Amblygnathus,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Harpalinae,Harpalini,Amerinus,
beetle,ITIS_2012dl_carabid,Animalia,,,Arthropoda,,Insecta,,Coleoptera,Carabidae,ground beetles,http://www.mendeley.com/c/5670257554/g/2058663/bousquet-2012-catalogue-of-geadephaga-coleoptera-adephaga-of-america-north-of-mexico/,Trechinae,Bembidiini,Amerizus,
