taxonID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,neonStatus,nameAccordingToID
AMHA,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,harrisii,,Ammospermophilus harrisii,species,opportunistic,Wilson&Reeder2005
AMIN,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,interpres,,Ammospermophilus interpres,species,opportunistic,Wilson&Reeder2005
AMLE,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,leucurus,,Ammospermophilus leucurus,species,opportunistic,Wilson&Reeder2005
AMSP,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus,sp.,,Ammospermophilus sp.,genus,opportunistic,Wilson&Reeder2005
BATA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Baiomys,taylori,,Baiomys taylori,species,target,Wilson&Reeder2005
BLBR,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,brevicauda,,Blarina brevicauda,species,opportunistic,Wilson&Reeder2005
BLCA,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,carolinensis,,Blarina carolinensis,species,opportunistic,Wilson&Reeder2005
BLHY,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,hylophaga,,Blarina hylophaga,species,opportunistic,Wilson&Reeder2005
BLSP,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Blarina,sp.,,Blarina sp.,genus,opportunistic,Wilson&Reeder2005
BRID,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Brachylagus,idahoensis,,Brachylagus idahoensis,species,non-target,Wilson&Reeder2005
CHBA,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,baileyi,,Chaetodipus baileyi,species,target,Wilson&Reeder2005
CHCA,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,californicus,,Chaetodipus californicus,species,target,Wilson&Reeder2005
CHER,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,eremicus,,Chaetodipus eremicus,species,target,Wilson&Reeder2005
CHFO,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,formosus,,Chaetodipus formosus,species,target,Wilson&Reeder2005
CHHI,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,hispidus,,Chaetodipus hispidus,species,target,Wilson&Reeder2005
CHIN,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,intermedius,,Chaetodipus intermedius,species,target,Wilson&Reeder2005
CHPE,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,penicillatus,,Chaetodipus penicillatus,species,target,Wilson&Reeder2005
CHSP,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Chaetodipus,sp.,,Chaetodipus sp.,genus,target,Wilson&Reeder2005
COCR,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Condylura,cristata,,Condylura cristata,species,non-target,Wilson&Reeder2005
CRPA,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Cryptotis,parva,,Cryptotis parva,species,opportunistic,Wilson&Reeder2005
CYGU,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Cynomys,gunnisoni,,Cynomys gunnisoni,species,non-target,Wilson&Reeder2005
