unaccepted_synonym,accepted_synonym
Rattus latidens,Abditomys latidens
Pogonomelomys sevia,Abeomelomys sevia
Pogonomelomys sevia sevia,Abeomelomys sevia sevia
Pogonomelomys sevia tatei,Abeomelomys sevia tatei
Abrocoma cuvieri,Abrocoma bennettii cuvieri
Abrocoma helvina,Abrocoma bennettii helvina
Abrocoma laniger,Abrocoma bennettii laniger
Abrocoma murrayi,Abrocoma bennettii murrayi
Abrocoma cinerea budini,Abrocoma budini
Abrocoma cinerea famatina,Abrocoma famatina
Abrocoma cinerea shistacea,Abrocoma shistacea
Abrocoma cinerea vaccarum,Abrocoma vaccarum
Akodon hershkovitzi,Abrothrix hershkovitzi
Abrothrix illutea,Abrothrix illuteus
Akodon lanosus,Abrothrix lanosus
Microxus lanosus,Abrothrix lanosus
Akodon longipilis,Abrothrix longipilis
Chelemys angustus,Abrothrix longipilis angustus
Akodon longipilis apta,Abrothrix longipilis apta
Mus brachytarsus,Abrothrix longipilis brachytarsus
Akodon longipilis castanea,Abrothrix longipilis castanea
Mus dumetorum,Abrothrix longipilis dumetorum
Akodon francei,Abrothrix longipilis francei
Mus fusco-ater,Abrothrix longipilis fuscoater
Akodon hirta,Abrothrix longipilis hirta
Abrothrix hirta,Abrothrix longipilis hirta
Akodon longipilis longipilis,Abrothrix longipilis longipilis
Mus melampus,Abrothrix longipilis melampus
Abrothrix suffusus modestior,Abrothrix longipilis modestior
Abrothrix longipilis moerens,Abrothrix longipilis moerens
Abrothrix suffusus moerens,Abrothrix longipilis moerens
Abrothrix hirta nubila,Abrothrix longipilis nubila
Mus porcinus,Abrothrix longipilis porcinus
Akodon suffusus,Abrothrix longipilis suffusa
Abrothrix suffusus,Abrothrix longipilis suffusa
Akodon mansoensis,Abrothrix mansoensis
Akodon markhami,Abrothrix markhami
Akodon olivaceus,Abrothrix olivaceus
Mus atratus,Abrothrix olivaceus atratus
Akodon olivaceus beatus,Abrothrix olivaceus beatus
Akodon olivaceus brachiotis,Abrothrix olivaceus brachiotis
Mus brachiotis,Abrothrix olivaceus brachiotis
Mus brevicaudatus,Abrothrix olivaceus brevicaudatus
Mus chonoticus,Abrothrix olivaceus chonoticus
Mus Foncki,Abrothrix olivaceus foncki
Mus germaini,Abrothrix olivaceus germaini
Mus landbecki,Abrothrix olivaceus landbecki
Mus lepturus,Abrothrix olivaceus lepturus
Mus macronychos,Abrothrix olivaceus macronychos
Akodon olivaceus mochae,Abrothrix olivaceus mochae
Irenomys mochae,Abrothrix olivaceus mochae
Mus nemoralis,Abrothrix olivaceus nemoralis
Akodon olivaceus olivaceus,Abrothrix olivaceus olivaceus
Akodon olivaceus pencanus,Abrothrix olivaceus pencanus
Mus psilurus,Abrothrix olivaceus psilurus
Mus pusillus,Abrothrix olivaceus pusillus
Akodon renggeri,Abrothrix olivaceus renggeri
Mus ruficaudus,Abrothrix olivaceus ruficaudus
Mus senilis,Abrothrix olivaceus senilis
Mus trichotis,Abrothrix olivaceus trichotis
Mus vinealis,Abrothrix olivaceus vinealis
Mus xanthopus,Abrothrix olivaceus xanthopus
Akodon sanborni,Abrothrix sanborni
Akodon longipilis sanborni,Abrothrix sanborni
Akodon olivaceus xanthorhinus,Abrothrix xanthorhinus
Abrothrix olivaceus xanthorhinus,Abrothrix xanthorhinus
Akodon canescens,Abrothrix xanthorhinus canescens
Abrothrix olivaceus canescens,Abrothrix xanthorhinus canescens
Mus infans,Abrothrix xanthorhinus infans
Akodon llanoi,Abrothrix xanthorhinus llanoi
Akodon xanthorhinus xanthorhinus,Abrothrix xanthorhinus xanthorhinus
Pteropus argentatus arquatus,Acerodon celebensis arquatus
Pteropus arquatus,Acerodon celebensis arquatus
Pteropus jubatus,Acerodon jubatus
Pteropus aurinuchalis,Acerodon jubatus aurinuchalis
Pteropus pyrrhocephalus,Acerodon jubatus pyrrhocephalus
Pteropus leucotis,Acerodon leucotis
Pteropus leucotis leucotis,Acerodon leucotis leucotis
Pteropus leucotis obscurus,Acerodon leucotis obscurus
Acerodon celebensis lucifer,Acerodon lucifer
Pteropus floresianus,Acerodon mackloti
Pteropus floresii,Acerodon mackloti floresii
Pteropus gilvus,Acerodon mackloti gilvus
Pteropus ochraphaeus,Acerodon mackloti ochraphaeus
Felis fearonis,Acinonyx jubatus fearonis
Acinonyx jubatus guttatus,Acinonyx jubatus guttata
Felis lanea,Acinonyx jubatus lanea
Felis megabalica,Acinonyx jubatus megabalica
Acinonyx jubatus ngorongoro,Acinonyx jubatus ngorongorensis
Acinonyx obergi,Acinonyx jubatus obergi
Acinonyx raddei,Acinonyx jubatus raddei
Acinonyx rex,Acinonyx jubatus rex
Felis jubata senegalensis,Acinonyx jubatus senegalensis
Cynailurus soemmeringii,Acinonyx jubatus soemmeringii
Felis venatica,Acinonyx jubatus venaticus
Acinonyx venator,Acinonyx jubatus venator
Acinonyx wagneri,Acinonyx jubatus wagneri
Acomys cahirinus airensis,Acomys airensis
Acomys chudeaui airensis,Acomys airensis
Mus cahirinus,Acomys cahirinus
Acomys albigena,Acomys cahirinus albigena
Mus albigena,Acomys cahirinus albigena
Acomys flavidus,Acomys cahirinus flavidus
Mus hispidus,Acomys cahirinus hispidus
Acomys dimidiatus homericus,Acomys cahirinus homericus
Acomys hunteri,Acomys cahirinus hunteri
Mus megalotis,Acomys cahirinus megalotis
Acomys nubicus,Acomys cahirinus nubicus
Acomys sabryi,Acomys cahirinus sabryi
