"taxonID","acceptedTaxonID","startUseDate","endUseDate","kingdom","phylum","class","order","family","subfamily","tribe","genus","subgenus","speciesGroup","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","taxonRank","vernacularName","nameAccordingTo","nameAccordingtoID","taxonomicStatus","protocolCategory"
"AMHA","AMHA",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Xerinae","Marmotini","Ammospermophilus","","","harrisii","","Ammospermophilus harrisii","Audubon and Bachman","species","Harriss Antelope Squirrel","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"AMIN","AMIN",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Xerinae","Marmotini","Ammospermophilus","","","interpres","","Ammospermophilus interpres","Merriam","species","Texas Antelope Squirrel","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"AMLE","AMLE",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Xerinae","Marmotini","Ammospermophilus","","","leucurus","","Ammospermophilus leucurus","Merriam","species","Whitetailed Antelope Squirrel","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"AMSP","AMSP",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Xerinae","Marmotini","Ammospermophilus",,"","sp.","","Ammospermophilus sp.",,"genus",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"BATA","BATA",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Neotominae","","Baiomys","","","taylori","","Baiomys taylori","Thomas","species","Northern Pygmy Mouse","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"BLBR","BLBR",2012-05-01,"","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Soricinae","Blarinini","Blarina","","","brevicauda","","Blarina brevicauda","Say","species","Northern Shorttailed Shrew","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"BLCA","BLCA",2012-05-01,"","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Soricinae","Blarinini","Blarina","","","carolinensis","","Blarina carolinensis","Bachman","species","Southern Shorttailed Shrew","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"BLHY","BLHY",2012-05-01,"","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Soricinae","Blarinini","Blarina","","","hylophaga","","Blarina hylophaga","Elliot","species","Elliots Shorttailed Shrew","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"BLSP","BLSP",2012-05-01,"","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Soricinae","Blarinini","Blarina",,"","sp.","","Blarina sp.",,"genus",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"BRID","BRID",2012-05-01,"","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","","","Brachylagus","","","idahoensis","","Brachylagus idahoensis","Merriam","species","Pygmy Rabbit","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
