family,taxon_id,spp_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name,species_level_id
Cervidae,mammal,alc_alc,Wilson_2005,Alces alces,Alces,,alces,,Linnaeus,1758,,Eurasian Elk,1
Sciuridae,mammal,amm_har,Wilson_2005,Ammospermophilus harrisii,Ammospermophilus,,harrisii,,Audubon and Bachman,1854,,Harris's Antelope Squirrel,1
Sciuridae,mammal,amm_int,Wilson_2005,Ammospermophilus interpres,Ammospermophilus,,interpres,,Merriam,1890,,Texas Antelope Squirrel,1
Sciuridae,mammal,amm_leu,Wilson_2005,Ammospermophilus leucurus,Ammospermophilus,,leucurus,,Merriam,1889,,White-tailed Antelope Squirrel,1
Antilocapridae,mammal,ant_ame,Wilson_2005,Antilocapra americana,Antilocapra,,americana,,Ord,1815,,Pronghorn,1
Vespertilionidae,mammal,ant_pal,Wilson_2005,Antrozous pallidus,Antrozous,,pallidus,,Le Conte,1856,,Pallid Bat,1
Aplodontiidae,mammal,apl_ruf,Wilson_2005,Aplodontia rufa,Aplodontia,,rufa,,Rafinesque,1817,,Sewellel,1
Cricetidae,mammal,bai_tay,Wilson_2005,Baiomys taylori,Baiomys,,taylori,,Thomas,1887,,Northern Pygmy Mouse,1
Procyonidae,mammal,bas_ast,Wilson_2005,Bassariscus astutus,Bassariscus,,astutus,,Lichtenstein,1827,,Ringtail,1
Soricidae,mammal,bla_bre,Wilson_2005,Blarina brevicauda,Blarina,,brevicauda,,Say,1823,,Northern Short-tailed Shrew,1
Soricidae,mammal,bla_car,Wilson_2005,Blarina carolinensis,Blarina,,carolinensis,,Bachman,1837,,Southern Short-tailed Shrew,1
Soricidae,mammal,bla_hyl,Wilson_2005,Blarina hylophaga,Blarina,,hylophaga,,Elliot,1899,,Elliot's Short-tailed Shrew,1
Leporidae,mammal,bra_ida,Wilson_2005,Brachylagus idahoensis,Brachylagus,,idahoensis,,Merriam,1891,,Pygmy Rabbit,1
Canidae,mammal,can_lat,Wilson_2005,Canis latrans,Canis,,latrans,,Say,1823,,Coyote,1
Canidae,mammal,can_lup,Wilson_2005,Canis lupus,Canis,,lupus,,Linnaeus,1758,,Wolf,1
