domain_number,site_id,taxon,additional_tags,habitat,info_type
D1,HARV,mosquitoes,phenology,forest,journal article
D2,SCBI,beetles,biodiversity,desert,dataset
D3,OSBS,ticks,biomass,shrubland,species list
D4,GUAN,mammals,aboveground,urban,endangered species info
D5,UNDE,birds,belowground,agriculture,taxonomy
D6,KONZ,microbes,hanta,grassland,
D7,ORNL,plants,WNV,woodland,
D8,TALL,soil,lyme,tundra,
D9,WOOD,disease,isotopes,taiga,
D10,CPER,herps,biogeochemistry,alpine,
D11,CLBJ,,dengue,coniferous,
D12,YELL,,ectoparasites,deciduous,
D13,NIWO,,,mixed,
D14,SRER,,,tropical,
D15,ONAQ,,,,
D16,WREF,,,,
D17,PSRS,,,,
D18,TOOL,,,,
D19,BONA,,,,
D20,OLAA,,,,
,BART,,,,
,PLUM,,,,
,SERC,,,,
,BLAN,,,,
,DSNY,,,,
,JERC,,,,
,LAJA,,,,
,PONC,,,,
,STEI,,,,
,TREE,,,,
,UKFS,,,,
,KONA,,,,
,GRSM,,,,
,MLBS,,,,
,CHOC,,,,
,DELA,,,,
,NOGP,,,,
,DCFS,,,,
,RMNP,,,,
,STER,,,,
,OAES,,,,
,UOBS,,,,
,BOZE,,,,
,LOLE,,,,
,FEXF,,,,
,MOAB,,,,
,JORN,,,,
,CAPL,,,,
,MURR,,,,
,RBUT,,,,
,ABBY,,,,
,THAY,,,,
,SOAP,,,,
,TEAK,,,,
,BASC,,,,
,POKE,,,,
,HEAL,,,,
,DEJU,,,,
,PUWI,,,,
,PUWU,,,,
