taxon_id,spp_id,resource_id,scientific_name,species,genus,subgenus,subspecies,authority_name,authority_year,itis_number,common_name,species_level_id
mosquito,aedcan2,WRBU_2010,Aedes canadensis mathesoni,canadensis,Aedes,Ochlerotatus,mathesoni,Middlekauff,1944,126325,,1
mosquito,aedful,WRBU_2010,Aedes fulvus pallens,fulvus,Aedes,Ochlerotatus,pallens,Ross,1943,126546,,1
mosquito,toxrut2,WRBU_2010,Toxorhynchites rutilus septentrionalis,rutilus,Toxorhynchites,Lynchiella,septentrionalis,Dyar & Knab,1906,126284,,1
mosquito,uraanh2,WRBU_2010,Uranotaenia anhydor syntheta,anhydor,Uranotaenia,Pseudoficalbia,syntheta,Dyar & Shannon,1924,126478,,1
mosquito,aednev,WRBU_2010,Aedes nevadensis,nevadensis,Aedes,Ochlerotatus,,Chapman & Barr,1964,125960,,1
mosquito,aedchu,WRBU_2010,Aedes churchillensis,churchillensis,Aedes,Ochlerotatus,,Ellis & Brust,1973,126462,,1
mosquito,aedkom,WRBU_2010,Aedes kompi,kompi,Aedes,Protomacleaya,,Vargas & Downs,1950,125950,,1
mosquito,aedcli,WRBU_2010,Aedes clivis,clivis,Aedes,Ochlerotatus,,Lanzaro & Eldridge,1992,126445,,1
mosquito,aedwas,WRBU_2010,Aedes washinoi,washinoi,Aedes,Ochlerotatus,,Lanzaro & Eldridge,1992,126446,,1
mosquito,anoher,WRBU_2010,Anopheles hermsi,hermsi,Anopheles,Anopheles,,Barr & Guptavanij,1989,126304,,1
mosquito,culced,WRBU_2010,Culex cedecei,cedecei,Culex,Melanoconion,,Stone & Hair,1968,,,1
mosquito,psomat,WRBU_2010,Psorophora mathesoni,mathesoni,Psorophora,Janthinosoma,,Belkin & Heinemann,1975,126408,,1
mosquito,deimat,WRBU_2010,Deinocerites mathesoni,mathesoni,Deinocerites,,,Belkin & Hogue,1959,,,1
mosquito,culerr,WRBU_2010,Culex erraticus,erraticus,Culex,Melanoconion,,Dyar & Knab,1906,126274,,1
mosquito,psocol,WRBU_2010,Psorophora columbiae,columbiae,Psorophora,Grabhamia,,Dyar & Knab,1906,126276,,1
mosquito,psoins,WRBU_2010,Psorophora insularia,insularia,Psorophora,Grabhamia,,Dyar & Knab,1906,126277,,1
mosquito,toxmoc,WRBU_2010,Toxorhynchites moctezuma,moctezuma,Toxorhynchites,Lynchiella,,Dyar & Knab,1906,126278,,1
mosquito,aedatl,WRBU_2010,Aedes atlanticus,atlanticus,Aedes,Ochlerotatus,,Dyar & Knab,1906,125973,,1
mosquito,aedgro,WRBU_2010,Aedes grossbecki,grossbecki,Aedes,Ochlerotatus,,Dyar & Knab,1906,,,1
mosquito,aedinf,WRBU_2010,Aedes infirmatus,infirmatus,Aedes,Ochlerotatus,,Dyar & Knab,1906,,,1
mosquito,aedtor1,WRBU_2010,Aedes tormentor,tormentor,Aedes,Ochlerotatus,,Dyar & Knab,1906,,,1
mosquito,anoatr,WRBU_2010,Anopheles atropos,atropos,Anopheles,Anopheles,,Dyar & Knab,1906,125974,,1
mosquito,anoocc,WRBU_2010,Anopheles occidentalis,occidentalis,Anopheles,Anopheles,,Dyar & Knab,1906,,,1
mosquito,anoves,WRBU_2010,Anopheles vestitipennis,vestitipennis,Anopheles,Anopheles,,Dyar & Knab,1906,125975,,1
mosquito,culbah,WRBU_2010,Culex bahamensis,bahamensis,Culex,Culex,,Dyar & Knab,1906,125976,,1
mosquito,culcar,WRBU_2010,Culex carcinophilus,carcinophilus,Culex,Melanoconion,,Dyar & Knab,1906,125995,,1
mosquito,culcor,WRBU_2010,Culex coronator,coronator,Culex,Culex,,Dyar & Knab,1906,126022,,1
mosquito,culdec,WRBU_2010,Culex declarator,declarator,Culex,Culex,,Dyar & Knab,1906,125980,,1
mosquito,culele,WRBU_2010,Culex elevator,elevator,Culex,Melanoconion,,Dyar & Knab,1906,,,1
mosquito,culhab,WRBU_2010,Culex habilitator,habilitator,Culex,Culex,,Dyar & Knab,1906,125982,,1
mosquito,culinh,WRBU_2010,Culex inhibitator,inhibitator,Culex,Melanoconion,,Dyar & Knab,1906,126033,,1
mosquito,culint,WRBU_2010,Culex interrogator,interrogator,Culex,Culex,,Dyar & Knab,1906,125957,,1
mosquito,wyevan,WRBU_2010,Wyeomyia vanduzeei,vanduzeei,Wyeomyia,Wyeomyia,,Dyar & Knab,1906,126425,,1
mosquito,aedcam,WRBU_2010,Aedes campestris,campestris,Aedes,Ochlerotatus,,Dyar & Knab,1907,126461,,1
mosquito,aedcon,WRBU_2010,Aedes condolescens,condolescens,Aedes,Ochlerotatus,,Dyar & Knab,1907,,,1
mosquito,aedobt,WRBU_2010,Aedes obturbator,obturbator,Aedes,Ochlerotatus,,Dyar & Knab,1907,126463,,1
mosquito,aedrip,WRBU_2010,Aedes riparius,riparius,Aedes,Ochlerotatus,,Dyar & Knab,1907,126464,,1
mosquito,cultae,WRBU_2010,Culex taeniopus,taeniopus,Culex,Melanoconion,,Dyar & Knab,1907,126465,,1
mosquito,psohor,WRBU_2010,Psorophora horrida,horrida,Psorophora,Janthinosoma,,Dyar & Knab,1908,,,1
mosquito,aedepa,WRBU_2010,Aedes epactius,epactius,Aedes,Ochlerotatus,,Dyar & Knab,1908,,,1
mosquito,culabo,WRBU_2010,Culex abominator,abominator,Culex,Melanoconion,,Dyar & Knab,1909,126473,,1
mosquito,culpec,WRBU_2010,Culex peccator,peccator,Culex,Melanoconion,,Dyar & Knab,1909,,,1
mosquito,deipse,WRBU_2010,Deinocerites pseudes,pseudes,Deinocerites,,,Dyar & Knab,1909,,,1
mosquito,aedthi,WRBU_2010,Aedes thibaulti,thibaulti,Aedes,Ochlerotatus,,Dyar & Knab,1910,126475,,1
mosquito,aednip,WRBU_2010,Aedes niphadopsis,niphadopsis,Aedes,Ochlerotatus,,Dyar & Knab,1918,,,1
mosquito,aedzoo,WRBU_2010,Aedes zoosophus,zoosophus,Aedes,Protomacleaya,,Dyar & Knab,1918,,,1
mosquito,aedmon,WRBU_2010,Aedes monticola,monticola,Aedes,Ochlerotatus,,Belkin & McDonald,1957,126340,,1
mosquito,culbis,WRBU_2010,Culex biscaynensis,biscaynensis,Culex,Micraedes,,Zavortink & O’Meara,1999,126578,,1
mosquito,psolon,WRBU_2010,Psorophora longipalpus,longipalpus,Psorophora,Janthinosoma,,Randolph & O'Neill,1944,126528,,1
mosquito,mandya,WRBU_2010,Mansonia dyari,dyari,Mansonia,Mansonia,,Belkin Heinemann & Page,1970,126338,,1
mosquito,culboh,WRBU_2010,Culex boharti,boharti,Culex,Neoculex,,Brookman & Reeves,1950,125958,,1
mosquito,aedbic,WRBU_2010,Aedes bicristatus,bicristatus,Aedes,Rusticoidus,,Thurman & Winkler,1950,,,1
mosquito,aedabs,WRBU_2010,Aedes abserratus,abserratus,Aedes,Ochlerotatus,,Felt & Young,1904,126298,,1
mosquito,aedfit,WRBU_2010,Aedes fitchii,fitchii,Aedes,Ochlerotatus,,Felt & Young,1904,126421,,1
mosquito,aeddia,WRBU_2010,Aedes diantaeus,diantaeus,Aedes,Ochlerotatus,,Howard; Dyar & Knab,1913,126501,,1
