domain_number,domain_name,site_id,site_name,site_type,latitude,longitude,zone,easting,northing,source,ownership,notes,state,county,nearest_city,distance_to_city_mi,existing_infrastructure,website,additional_website
18,Tundra,BASC,Barrow Arctic Science Consortium,Relocatable,71.28241,-156.61935,4,585246.1,7910572,BASC,BASC,,Alaska,North Slope,Barrow,,Barrow Arctic Science Consortium,http://www.arcticscience.org/,
20,Pacific Tropical,PUWI,PuuWaaWaa-invaded,Relocatable,19.72879,-155.89238,5,196827.06,2184054.5,State of Hawaii,State of Hawaii,,Hawaii,Honolulu,Kailua-Kona,,Hawaii Experimental Tropical Forest,http://www.hetf.us/page/puu_waa_waa/,
20,Pacific Tropical,PUWU,PuuWaaWaa-uninvaded,Relocatable,19.725424,-155.87364,5,198785.9,2183648.2,State of Hawaii,State of Hawaii,,Hawaii,Honolulu,Kailua-Kona,,Hawaii Experimental Tropical Forest,http://www.hetf.us/page/puu_waa_waa/,
20,Pacific Tropical,OLAA,Olaa,Core,19.554785,-155.26418,5,262448.1,2163786.8,No report available,HI Div Forest and Wildlife,,Hawaii,,,,,,
18,Tundra,TOOL,Toolik Lake,Core,68.66109,-149.37047,6,403757.16,7618427.5,Characterization Report on Agile ,U. Alaska; Fairbanks/BLM; LTER,,Alaska,North Slope,North Slope,,UA/BLM Toolik Field Station - Institute of Arctic Biology; Arctic LTER,http://toolik.alaska.edu/,http://ecosystems.mbl.edu/arc/default.html
19,Taiga,HEAL,Healy,Relocatable,63.87569,-149.21333,6,391276.6,7085048,Alaska State Forest,Alaska State Forest,,Alaska,Denali,Healy,,~Population Ecology Services?,cannot find,
19,Taiga,BONA,Caribou Creek - Poker Flats Watershed,Core,65.15401,-147.50258,6,476436.75,7225712.5,Characterization Report on Agile ,IATCA; AK DNR;  LTER,,Alaska,North Star,Fairbanks,,Bonanza Creek LTER,http://www.lter.uaf.edu/bnz_cpcrw.cfm,
19,Taiga,POKE,Poker Flat,Relocatable,65.11298,-147.42274,6,480149.34,7221112.5,BLM,BLM,,Alaska,North Star,Fairbanks,,UA Poker Flat Research Range,http://www.pfrr.alaska.edu/,
19,Taiga,DEJU,Delta Junction,Relocatable,63.88112,-145.75136,6,561330.06,7084367,BLM,BLM,,Alaska,Southeast Fairbanks,Delta Junction,,BLM Alaska Delta River Mining District Study,http://www.blm.gov/ak/st/en/prog/minerals/mineral_assessment_prog/studies/delta_river_mining.html,
16,Pacific Northwest,THAY,Thayer,Relocatable,45.71438,-122.34024,10,551348.94,5062525.5,Washington DNR,Washington DNR,,Washington,,,,,,
16,Pacific Northwest,ABBY,Abby Road,Relocatable,45.76243,-122.33033,10,552075.56,5067870.5,Washington DNR,Washington DNR,,Washington,,,,,,
16,Pacific Northwest,WREF,Wind River Experimental Forest,Core,45.820488,-121.95191,10,581417.8,5074637,Characterization Report on Agile ,USFS,,Washington,Skamania,Carson,,USFS Pacific Northwest Research Station ,http://www.fs.fed.us/pnw/exforests/wind-river/index.shtml,
17,Pacific Southwest,PSRS,San Joaquin,Core,37.10878,-119.73228,11,257213.97,4110434,Characterization Report on Agile ,USFS,,California,Madera,Coarsegold,,Pacific Southwest Research Station - USFS,http://www.fs.fed.us/psw/ef/san_joaquin/,
17,Pacific Southwest,SOAP,Soaproot Saddle,Relocatable,37.03337,-119.26219,11,298792.75,4100967.2,USFS; PSW Research,USFS; PSW Research,,California,Fresno,Shaver Lake,,Pacific Southwest Research Station - USFS,http://www.fs.fed.us/psw/programs/snrc/water/kingsriver/,
17,Pacific Southwest,TEAK,Lower Teakettle,Relocatable,37.00583,-119.00602,11,321515.75,4097400.2,USFS; PSW Research,USFS; PSW Research,,California,,,,,,
15,Great Basin,ONAQ,Onaqui-Ault,Core,40.17759,-112.45244,12,376339.7,4448479.5,Characterization Report on Agile ,BLM/USFS,,Utah,Tooele,Vernon,,NEON IRON BAR-SALT,http://ehleringer.net/iron/OnaquiBenmore/index.html,
15,Great Basin,MURR,Murray Tower (Urban),Relocatable,40.64789,-111.91849,12,422343.47,4500076,City of Murray,City of Murray,,Utah,Salt Lake,Salt Lake City,,cannot find,cannot find,
15,Great Basin,RBUT,Red Butte Canyon (Low Elevation-Urban Influence),Relocatable,40.78205,-111.80394,12,432164.84,4514874,USFS; Wasatch-Cache NF,USFS; Wasatch-Cache NF,Used low elev site- high elev site at 40.814634;-111.760778 (490658/45204460) snow/climate,Utah ,Salt Lake,Salt Lake City,,USFS/ Wasatch Range of Utah Research Natural Area,http://redbuttecanyon.net/,
14,Desert Southwest,CAPL,CAP LTER Urban,Relocatable,33.355686,-111.56135,12,447772.38,3690860.2,Arizona State Trudt,Arizona State Trudt,,Arizona,Pinal,Apache Junction,,ASU Global Institute of Sustainability CAP LTER,http://caplter.asu.edu/,
12,Northern Rockies,BOZE,Bozeman; MT (MOR),Relocatable,45.65703,-111.04628,12,496394,5055943.5,Montana State University,Montana State University,,Montana,Gallatin,Bozeman,,MSU Museum of the Rockies,http://www.museumoftherockies.org/,
14,Desert Southwest,SRER,Santa Rita Experimental Range,Core,31.91068,-110.83549,12,515553.9,3530547,"Report is ""Obsolete"" on Agile",U. of Arizona,,Arizona,Pima,Sahuarita,,UA/CALS/SNRE Santa Rita Experimental Range,http://www.snr.arizona.edu/project/srer,http://ag.arizona.edu/srer/
12,Northern Rockies,LOLE,Loch Leven; MT,Relocatable,45.45843,-110.62303,12,529473.1,5033947.5,Montana Fish Wildlife and Park,Montana Fish Wildlife and Park,,Montana,Park,Livingston,,None,http://fwp.mt.gov/,
12,Northern Rockies,YELL,Yellowstone Northern Range (Frog Rock),Core,44.95348,-110.53914,12,536352.2,4977886,Characterization Report on Agile ,NPS,,Montana,Park,Gardiner,,NPS Yellowstone; Yellowstone Ecological Research Center,http://www.nps.gov/yell/index.htm,http://www.yellowstoneresearch.org/
13,Southern Rockies,MOAB,Moab,Relocatable,38.24833,-109.38827,12,641031.5,4234596.5,BLM,BLM,,Utah,Grand,Moab,,BLM Moab Field Office,http://www.blm.gov/ut/st/en/fo/moab.html,
14,Desert Southwest,JORN,Jornada LTER,Relocatable,32.59068,-106.84254,13,327074.62,3607409.2,USDA / ARS,USDA / ARS,Alternate site (no power) Creosote- 32.57109356;-106.6302116,New Mexico,Dona Ana,Dona Ana-Hill,,NMSU Jornada Basin LTER,http://jornada-www.nmsu.edu/,
13,Southern Rockies,FEXF,Fraser Experimental Forest,Relocatable,39.85764,-105.86153,13,426307.06,4412312,USFS,USFS,,Colorado,Larimer,Fort Collins,,USDA Forest Service Fraser Experimental Forest; Research Work Unit 4352 ,http://www.fs.fed.us/rm/fraser/,
13,Southern Rockies,NIWO,Niwot Ridge/Mountain Research Station,Core,40.05425,-105.58237,13,450328.28,4433941,Characterization Report on Agile,CU/US Forest Service (ridge); LTER,,Colorado,Boulder,Ward,,CU/Institute of Arctic and Alpine Research ,http://www.colorado.edu/mrs/,
10,Central Plains,CPER,Central Plains Experimental Range,Core,40.81554,-104.74543,13,521469.3,4518312,Characterization Report on Agile ,USDA Agriculture Research Service; LTER,,Colorado,Weld,Nunn,,Shortgrass Steppe LTER (Colorado State University),http://sgs.cnr.colostate.edu/,
10,Central Plains,STER,North Sterling; CO,Relocatable,40.461903,-103.02927,13,667087.56,4480891,Mr. Glibert Lindstrom,Mr. Glibert Lindstrom,,Colorado,Logan,Sterling,,None,,
11,Southern Plains,OAES,Klemme Range Research Station,Relocatable,35.41059,-99.05879,14,494662.25,3918579,Oklahoma State University-under the OK Agricultural Experimental Station,Oklahoma State University-under the OK Agricultural Experimental Station,,Oklahoma,Washita,Bessie,,OAES Marvin Klemme Range Research Station,http://oaes.pss.okstate.edu/agronstations/1klemme/index.html,
11,Southern Plains,CLBJ,Caddo/LBJ National Grassland ,Core,33.40123,-97.57,14,632982.2,3696682.5,Characterization Report on Alfresco,USFS,,Texas,Wise,Alvord,,USDA Forest Service Caddo/LBJ National Grasslands,http://www.fs.fed.us/r8/texas/recreation/caddo_lbj/caddo-lbj_gen_info.shtml,
11,Southern Plains,UOBS,Northcutt Site,Relocatable,33.88891,-96.84396,14,699382.4,3751931,Delmas Northcutt,Delmas Northcutt,,Oklahoma,Marshall,Kingston,,University of Oklahoma Biological Station,http://www.ou.edu/uobs/,
6,Prairie Peninsula,KONA,Konza Prairie Biological Station (Agricultural Lowland),Relocatable,39.11044,-96.61295,14,706389.44,4331745.5,The Nature Conservancy,The Nature Conservancy,,Kansas ,Riley,Manhattan,,KSU LTER - Konza Prairie Biological Station,http://www.konza.ksu.edu/,
6,Prairie Peninsula,KONZ,Konza Prairie Biological Station,Core,39.10077,-96.56309,14,710729.8,4330786.5,Characterization Report on Agile ,Kansas State & Nature Conservancy; LTER,,Kansas ,Riley,Manhattan,,KSU LTER - Konza Prairie Biological Station,http://www.konza.ksu.edu/,
6,Prairie Peninsula,UKFS,The University of Kansas Field Station,Relocatable,39.04043,-95.19215,15,310276.3,4323550,University of Kansas,University of Kansas,,Kansas ,Douglas,Lawrence,,University of Kansas Field Station,http://www.kufs.ku.edu/index.htm,
8,Ozarks Complex,CHOC,Choctaw National Wildlife Refuge,Relocatable,31.84773,-88.17045,16,273599.88,3952335.2,USFWS / US ACE,USFWS / US ACE,,Alabama,Choctaw,Gilbertown,,USFWS National Wildlife Refuge System Choctaw National Wildlife Refuge,http://www.fws.gov/choctaw/,
8,Ozarks Complex,DELA,Dead Lake,Relocatable,32.54172,-87.80389,16,389258.97,3524154.8,USACE,USACE,,Alabama,,,,,,
8,Ozarks Complex,TALL,Talladega National Forest,Core,32.95046,-87.39327,16,463241.72,3645863.5,Characterization Report on Agile ,USFS,,Alabama,Hale,Moundville,,USDA/USFS Talladega National Forest,http://www.fs.fed.us/r8/alabama/,
3,Southeast,JERC,Jones Ecological Research Center,Relocatable,31.19484,-84.46861,16,741205.75,3453956.2,Private; Robert W. Woodruff Foundation,Private; Robert W. Woodruff Foundation,,Georgia,Baker/Newton,Newton,,Joseph W. Jones Ecological Research Center at Ichauway,http://www.jonesctr.org/,
7,Appalachian/Cumberland Plateaus,ORNL,Oak Ridge,Core,35.96412,-84.2826,16,745052.44,3983383,Characterization Report on Agile ,US DOE,,Tennessee,Anderson,Oak Ridge,,Oak Ridge National Laboratory/Reservation,http://www.oakridge.doe.gov/external/,
7,Appalachian/Cumberland Plateaus,GRSM,Great Smoky Mountains National Park; Twin Creeks,Relocatable,35.68896,-83.50195,17,273599.88,3952335.2,Federal DOI-NPS,Federal DOI-NPS,,Tennessee,Sevier,Gatlinburg,,Twin Creeks DLIA/ATBI Facility,http://www.dlia.org/atbi/science/housing/twin_creeks.shtml,
3,Southeast,OSBS,Ordway-Swisher Biological Station,Core,29.68927,-81.99343,17,403886.4,3284767.5,Characterization Report on Agile ,University of Florida Foundation,,Florida,Putnam,Melrose,6.3,OSBS (UF; Department of Wildlife Ecology & Conservation),http://ordway-swisher.ufl.edu/,
3,Southeast,DSNY,Disney Wilderness Preserve,Relocatable,28.12504,-81.4362,17,457161.1,3111130.8,The Nature Conservancy,The Nature Conservancy,,Florida,Osceola,Kissimmee,,The Nature Conservancy's Disney Wilderness Preserve,http://www.nature.org/wherewework/northamerica/states/florida/preserves/art5523.html,
7,Appalachian/Cumberland Plateaus,MLBS,Mountain Lake Biological Station,Relocatable,37.37828,-80.52484,17,542067.6,4136943.5,Private - Little Stony Inc; leased to UVa through 2085,Private - Little Stony Inc; leased to UVa through 2085,,Virginia,Giles,Pembroke,,University of Virginia MLBS - Department of Biology,http://www.mlbs.virginia.edu/,
