domain,domainName,siteName,PM_Code,SiteID,Type,subType,Lat,Long,Zone,Northing,Easting,County,State,Ownership,scienceTheme
1,Northeast,Harvard Forest,D01C,HARV,Advanced,,42.536900,-72.172660,18,4713265.041137,732183.193774,Worcester,MA,"Harvard University, LTER",
1,Northeast,Bartlett Experimental Forest,D01R1,BART,Relocatable,Relocatable Tower 1,44.063880,-71.287310,19,4881511.5519750,316812.159508,Carroll,NH,U.S. Forest Service,Climate
1,Northeast,"Sawmill Brook Conservation Area -Burlington, MA",D01R2,SAWB,Relocatable,Relocatable Tower 2,42.523950,-71.182930,19,4710261.6242970,320701.730098,Middlesex,MA,"Town of Burlington, MA",Urbanization
2,Mid-Atlantic,Smithsonian Conservation Biology Institute,D02C,SCBI,Advanced,,38.892920,-78.139500,17,4308784.078341,748090.647295,Warren,VA,Smithsonian Institution,
2,Mid-Atlantic,Blandy Experimental Farm,D02R2,BLAN,Relocatable,Relocatable Tower 2,39.060260,-78.071640,17,4327545.8838800,753379.542088,Clarke,VA,University of Virginia,Invasive Species
2,Mid-Atlantic,Smithsonian Environmental Research Center,D02R1,SERC,Relocatable,Relocatable Tower 1,38.890080,-76.560010,18,4305735.3000850,364703.662397,Anne Arundel,MD,Smithsonian Institution,Invasive Species
3,Southeast,Ordway-Swisher Biological Station,D03C,OSBS,Advanced,,29.689270,-81.993430,17,3284767.488743,403886.418032,Putnam,FL,University of Florida Foundation,
3,Southeast,Disney Wilderness Preserve,D03R1,DSNY,Relocatable,Relocatable Tower 1,28.125040,-81.436200,17,3111130.6894470,457161.092436,Osceola,FL,The Nature Conservancy,Forest Management
3,Southeast,Jones Ecological Research Center,D03R2,JERC,Relocatable,Relocatable Tower 2,31.194840,-84.468610,16,3453956.3707510,741205.722381,Baker,GA,"Private, Robert W. Woodruff Foundation",Forest Management
4,Atlantic Neotropical,Guanica Forest,D04C,GUAN,Advanced,,17.969550,-66.868700,19,1988112.213266,725706.128480,Guanica Municipio,PR,"State Forest, Dept. of Natural and Environmental Resources, Commonwealth of Puerto Rico",
4,Atlantic Neotropical,Lajas Experimental Station,D04R1,LAJA,Relocatable,Relocatable Tower 1,18.021250,-67.076900,19,1993593.8712890,703591.128106,Lajas Municipio,PR,University of Puerto Rico,Agriculture
4,Atlantic Neotropical,Mameyes,D04R2,MAME,Relocatable,Relocatable Tower 2,18.022010,-66.613710,19,1994249.0381720,752647.017563,Ponce Municipio,PR,"Municipality of Puerto Rico, Ponce",Urbanization
5,Great Lakes,UNDERC,D05C,UNDE,Advanced,,46.233880,?89.53725,16,5123162.885706,304366.950153,Gogebic,MI,University of Notre Dame Environmental Research Center,
5,Great Lakes,Steigerwaldt Land Services,D05R1,STEI,Relocatable,Relocatable Tower 1,45.508942,-89.586365,16,5042743.8522070,297968.686426,Lincoln,WI,Steigerwaldt Land Services,Forest Management
5,Great Lakes,Treehaven,D05R2,TREE,Relocatable,Relocatable Tower 2,45.493725,-89.585718,16,5041051.7234560,297964.790108,Lincoln,WI,"University of Wisconsin, Stevens Point",Forest Management
6,Prairie Peninsula,Konza Prairie Biological Station,D06C1,KONZ,Advanced,,39.100770,-96.563090,14,4330786.533667,710729.797994,Riley,KS,"The Nature Conservancy, Kansas State University, LTER",
6,Prairie Peninsula,Konza Prairie Biological Station,D06R2,KONA,Relocatable,Relocatable Tower 2,39.110440,-96.612950,14,4331745.2806430,706389.453830,Riley,KS,"The Nature Conservancy, Kansas State University",Agriculture
6,Prairie Peninsula,The University of Kansas Field Station,D06R1,UKFS,Relocatable,Relocatable Tower 1,39.040430,-95.192150,15,4323549.8479750,310276.297626,Jefferson,KS,University of Kansas,Agriculture
7,Appalachians & Cumberland Plateau,Oak Ridge,D07C,ORNL,Advanced,,35.964120,-84.282600,16,3983383.087247,745052.435407,Anderson,TN,U.S. Department of Energy,
7,Appalachians & Cumberland Plateau,"Great Smoky Mountains National Park, Twin Creeks",D07R2,GRSM,Relocatable,Relocatable Tower 2,35.688960,-83.501950,17,3952335.2894750,273599.876503,Sevier,TN,National Park Service,Climate
7,Appalachians & Cumberland Plateau,Mountain Lake Biological Station,D07R1,MLBS,Relocatable,Relocatable Tower 1,37.378280,-80.524840,17,4136943.4400000,542067.640000,Giles,VA,"Private - Little Stony Inc, University of Virginia",Climate
