source_id,info_type,file_type,notes,isbn,author,title,journal,volume,issue,pages,year,url,tags,spat_scale,spat_extent
http://www.mendeley.com/research/animal-species-list-bona-1/,WebPage,,,,,Animal species list for BONA,,,,,,http://www.lter.uaf.edu/ascii/files/218_AnimalSpeciesList.txt,,site,
http://www.mendeley.com/c/5077870952/g/2058663/2012-romomammalcertifiedspecieslist/,Generic,,,,,ROMO_Mammal_CertifiedSpeciesList,,,,,2012,,D10;later;mammals;mixed;off-site;RMNP;species list,offsite,
http://www.mendeley.com/c/5050144782/g/2058663/2002-denali-national-park-mammal-checklist/,generic,,,,,Denali National Park mammal checklist,,,,,2002,http://www.nps.gov/dena/naturescience/mammalchecklist.htm,,site,
http://www.mendeley.com/c/5097547162/g/2058663/underc-mammal-list/,WebPage,,,,,Mammal species list for UNDERC,,,,,,http://www.nd.edu/~underc/east/about/MammalList.shtml,mammals;mammology;michigan;underc;wisconsin,site,
http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/,Web Page,,,,Wilson; D.; Ruff; S.; & & Kays; R.,North American Mammals,,,,,,,mammals;taxonomy,site,
http://www.mendeley.com/c/4939778322/g/2058663/rmnp-rmnp-species-lists/,generic,,,,,RMNP Species Lists,,,,,,http://www.nps.gov/romo/naturescience/index.htm,,site,
http://www.mendeley.com/c/5038504502/g/2058663/red-butte-canyon-mammalian-fauna/,WebPage,,,,,Red Butte Canyon Mammalian Fauna,,,,,,http://redbuttecanyon.net/mammalian.html,,site,
http://www.mendeley.com/c/5051066502/g/2058663/canymammalcertifiedspecieslist/,Generic,,,,,CANY_Mammal_CertifiedSpeciesList,,,,,,,D13;mammals;mixed;MOAB;species list;super site,supersite,
http://www.mendeley.com/c/5015016762/g/2058663/jornada-jorn-mammal-species-list/,Web Page,,,,,Jornada (JORN) mammal species list,,,,,,,D14;JORN;mammals;site;species list,site,
http://www.mendeley.com/c/5145034064/g/2058663/knrimammalcertifiedspecieslist/,Generic,,,,,KNRI_Mammal_CertifiedSpeciesList,,,,,,,D9;mammals;off-site;species list,offsite,
http://www.mendeley.com/c/5023417322/g/2058663/2008-north-sterling-state-park-wildlife-list/,generic,,,,,North Sterling State Park Wildlife List,,,,,2008,,,site,
http://www.mendeley.com/c/4939778352/g/2058663/lter-mammal-species-list/,Generic,,,,LTER; S. S.,Mammal Species List,,,,,,,CPER;D10;mammals;shrubland;species list,site,
