nameAccordingToIDold,nameAccordingTo,nameAccordingToID
http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",isbn: 9780916984854
http://www.mendeley.com/c/5682539804/g/2058663/schwartz-1991-amphibians-and-reptiles-of-the-west-indies-descriptions-distributions-and-natural-history/,"Schwartz, A., and R. W. Henderson. 1991. Amphibians and Reptiles of the West Indies. 714 pp. University Press of Florida.",isbn: 978-0-8130-1049-6
http://www.mendeley.com/c/5682073974/g/2058663/hedges-2009-molecular-phylogeny-classification-and-biogeography-of-west-indian-racer-snakes-of-the-tribe-alsophiini-squamata-dipsadidae-xenodontinae/,"Hedges, S. B., A. Couloux, and N. Vidal. 2009. Molecular phylogeny, classification, and biogeography of West Indian racer snakes of the Tribe Alsophiini (Squamata, Dipsadidae, Xenodontinae). Zootaxa 2067:1-28.",isbn: 1175-5326
http://www.mendeley.com/c/5682555914/g/2058663/fritz-2007-when-genes-meet-nomenclature-tortoise-phylogeny-and-the-shifting-generic-concepts-of-testudo-and-geochelone/,"Fritz, U., and O. R. P. Bininda-Emonds. 2007. When genes meet nomenclature: tortoise phylogeny and the shifting generic concepts of Testudo and Geochelone. Zoology 110:298-307.",doi: 10.1016/j.zool.2007.02.003
http://www.mendeley.com/c/5682760304/g/2058663/fritz-2007-checklist-of-chelonians-of-the-world/,"Fritz, U., and P. Havas. 2007. Checklist of Chelonians of the World. Vertebrate Zoology 57:148-368.",issn: 1864-5755
http://www.mendeley.com/c/5682617724/g/2058663/rios-lopez-2007-a-new-species-of-palustrine-eleutherodactylus-anura-leptodactylidae-from-puerto-rico/,"Rios-Lopez, N., and R. Thomas. 2007. A new species of palustrine Eleutherodactylus (Anura: Leptodactylidae) from Puerto Rico. Zootaxa 1512:51-64.",isbn: 1175-5326
http://www.mendeley.com/c/5682621044/g/2058663/weiss-2007-molecular-phylogeny-and-biogeography-of-the-antillean-geckos-phyllodactylus-wirshingi-tarentola-americana-and-hemidactylus-haitianus-reptilia-squamata/,"Weiss, A. J., and S. B. Hedges. 2007. Molecular phylogeny and biogeography of the Antillean geckos Phyllodactylus wirshingi, Tarentola americana, and Hemidactylus haitianus (Reptilia, Squamata). Molecular Phylogenetics and Evolution 45:409-416.",doi: 10.1016/j.ympev.2007.01.006
http://www.mendeley.com/c/5682889944/g/2058663/rivero-1998-the-amphibians-and-reptiles-of-puerto-rico/,"Rivero, J. A. 1998. The Amphibians and Reptiles of Puerto Rico. 510 pp. 2nd edition. Editorial de la Universidad de Puerto Rico, San Juan.",isbn: 978-0847702435
http://www.mendeley.com/c/5682076084/g/2058663/hedges-2012-a-new-skink-fauna-from-caribbean-islands-squamata-mabuyidae-mabuyinae/,"Hedges, S. B., and C. E. Conn. 2012. A new skink fauna from Caribbean islands (Squamata, Mabuyidae, Mabuyinae). Zootaxa 3288:1-244.",isbn: 9781869778934
http://www.mendeley.com/c/5682761414/g/2058663/hedges-1991-cryptic-species-of-snakes-typhlopidae-typhlops-from-the-puerto-rico-bank-detected-by-protein-electrophoresis/,"Hedges, S. B., and R. Thomas. 1991. Cryptic Species of Snakes (Typhlopidae: Typhlops) from the Puerto Rico Bank Detected by Protein Electrophoresis. Herpetologica 47:448-459.",isbn: 0018-0831
http://www.itis.gov/,http://www.itis.gov/ accessed 2 October 2014,http://www.itis.gov/
