site,genus,sp,subsp,common_name,source
BART,Desmognathus,fuscus,,dusky salamander,http://www.mendeley.com/c/4981706182/g/2058663/degraaf-2002-effects-of-edge-contrast-on-redback-salamander-distribution-in-even-aged-northern-hardwoods/
BART,Eurycea,bislineata,,two-lined salamander,http://www.mendeley.com/c/4981706182/g/2058663/degraaf-2002-effects-of-edge-contrast-on-redback-salamander-distribution-in-even-aged-northern-hardwoods/
BART,Gyrinophilus,porphyriticus,,spring salamander,http://www.mendeley.com/c/4981706182/g/2058663/degraaf-2002-effects-of-edge-contrast-on-redback-salamander-distribution-in-even-aged-northern-hardwoods/
BART,Thamnophis,sirtalis,,garter snake,http://www.mendeley.com/c/4981706182/g/2058663/degraaf-2002-effects-of-edge-contrast-on-redback-salamander-distribution-in-even-aged-northern-hardwoods/
BART,Plethodon,cinereus,,redback salamander,http://www.mendeley.com/c/4981706182/g/2058663/degraaf-2002-effects-of-edge-contrast-on-redback-salamander-distribution-in-even-aged-northern-hardwoods/
BART,Ambystoma,maculatum,,spotted salamander,http://www.mendeley.com/research//c/4981987782/g/2058663/forest-no-title//
BLAN,Chrysemys,picta,,Painted turtle,http://www.mendeley.com/c/4997297282/g/2058663/bowne-2008-terrestrial-of-chrysemys-picta-in-northern/
BONA,Rana,sylvatica,,Northern Wood Frog,http://www.mendeley.com/c/5026914302/g/2058663/animal-species-list-for-bona/
CAPL,Cnemidophorus,tigris,,,http://www.mendeley.com/c/5017965982/g/2058663/ohmart-2000-vertebrate-species-composition-of-remnant-desert-islands-within-urban-phoenix/
CAPL,Urosaurus,ornatus,,,http://www.mendeley.com/c/5017965982/g/2058663/ohmart-2000-vertebrate-species-composition-of-remnant-desert-islands-within-urban-phoenix/
CAPL,Uta,stansburiana,,,http://www.mendeley.com/c/5017965982/g/2058663/ohmart-2000-vertebrate-species-composition-of-remnant-desert-islands-within-urban-phoenix/
CAPL,Sauromalus,ater,,Common chuckwalla,http://www.mendeley.com/c/5018270132/g/2058663/sullivan-2008-common-chuckwalla-sauromalus-ater-populations-in-the-phoenix-metropolitan-area-stability-in-urban-preserves/
CAPL,Hyla,arenicolor,,Canyon Treefrog,http://www.mendeley.com/c/5129955884/g/2058663/amphibians-of-arizona/
CAPL,Lithobates,catesbeiana,,American Bullfrog,http://www.mendeley.com/c/5129955884/g/2058663/amphibians-of-arizona/
CAPL,Lithobates,yavapaiensis,,Lowland Leopard Frog,http://www.mendeley.com/c/5129955884/g/2058663/amphibians-of-arizona/
CAPL,Anaxyrus,cognatus,,Great Plains Toad,http://www.mendeley.com/c/5129955884/g/2058663/amphibians-of-arizona/
