site,genus,sp,subsp,common_name,source
DSNY,Cicindela,highlandensis,,,http://www.mendeley.com/c/4959407682/g/2058663/nesmith-2010-tiger-beetle-reference-in-watershed-report/
OSBY,Ptomaphagus,consobrinus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Brachys,floricola,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Brachys,tesselatus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Buprestis,rufipes,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Pasimachus,strenuus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Pasimachus,sublaevis,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Oncideres,cingulata,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Baliosus,nervosa,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Distigmoptera,apicalis,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Metachroma,anaemicum,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Triachus,atomus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Agraphus,bellicus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Brachybamus,electus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Conotrachelus,posticatus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Cryptorhynchus,minutissimus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
