site_id,genus,sp,subsp,common_name,source_id
BONA,Alces,alces,,Moose,http://www.mendeley.com/research/animal-species-list-bona-1/
FEXF,Alces,alces,,Moose,http://www.mendeley.com/c/5077870952/g/2058663/2012-romomammalcertifiedspecieslist/
HEAL,Alces,alces,,moose,http://www.mendeley.com/c/5050144782/g/2058663/2002-denali-national-park-mammal-checklist/
POKE,Alces,alces,,Moose,http://www.mendeley.com/research/animal-species-list-bona-1/
UNDE,Alces,alces,,Moose,http://www.mendeley.com/c/5097547162/g/2058663/underc-mammal-list/
BART,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
BASC,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
BONA,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
HEAL,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
POKE,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
TOOL,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
UNDE,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
HARV,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/4939778312/g/2058663/massachussetts-division-of-fish-and-game-2009-massachussetts-state-mammal-list/
BART,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/4939778312/g/2058663/massachussetts-division-of-fish-and-game-2009-massachussetts-state-mammal-list/
RMNP,Alces,alces,,Eurasian Elk,http://www.mendeley.com/c/4939778322/g/2058663/rmnp-rmnp-species-lists/
RBUT,Alces,americanus,,moose,http://www.mendeley.com/c/5038504502/g/2058663/red-butte-canyon-mammalian-fauna/
CAPL,Ammospermophilus,harrisii,,Harris's Antelope Squirrel,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
SRER,Ammospermophilus,harrisii,,Harris's Antelope Squirrel,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
JORN,Ammospermophilus,interpres,,Texas Antelope Squirrel,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
MOAB,Ammospermophilus,leucurus,,White-tailed Antelope Squirrel,http://www.mendeley.com/c/5051066502/g/2058663/canymammalcertifiedspecieslist/
MOAB,Ammospermophilus,leucurus,,White-tailed Antelope Squirrel,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
ONAQ,Ammospermophilus,leucurus,,White-tailed Antelope Squirrel,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
FEXF,Antilocapra,americana,,Pronghorn Antelope,http://www.mendeley.com/c/5077870952/g/2058663/2012-romomammalcertifiedspecieslist/
JORN,Antilocapra,americana,,Pronghorn                     ,http://www.mendeley.com/c/5015016762/g/2058663/jornada-jorn-mammal-species-list/
NOGP,Antilocapra,americana,,pronghorn,http://www.mendeley.com/c/5145034064/g/2058663/knrimammalcertifiedspecieslist/
STER,Antilocapra,americana,,Pronghorn,http://www.mendeley.com/c/5023417322/g/2058663/2008-north-sterling-state-park-wildlife-list/
CPER,Antilocapra,americana,,Pronghorn,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
DCFS,Antilocapra,americana,,Pronghorn,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
FEXF,Antilocapra,americana,,Pronghorn,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
MOAB,Antilocapra,americana,,Pronghorn,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
MURR,Antilocapra,americana,,Pronghorn,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
NIWO,Antilocapra,americana,,Pronghorn,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
NOGP,Antilocapra,americana,,Pronghorn,http://www.mendeley.com/c/5400303214/g/2058663/wilson-north-american-mammals/
