genus,sp,subsp,state,federal_status,state_status,notes,state_source
Abagrotis,nefascia,NA,Massachusetts,NA,Special Concern,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Abronia,macrocarpa,NA,Texas,Endangered,NA,NA,NA
Abronia,macrocarpa,NA,Texas,NA,Endangered,NA,http://www.mendeley.com/c/5144559874/g/2058663/texas-federalstate-threatened-and-endangered-species/
Abutilon,eremitopetalum,NA,Hawaii,Endangered,NA,NA,NA
Abutilon,menziesii,NA,Hawaii,Endangered,NA,NA,NA
Abutilon,parishii,NA,Arizona,NA,Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Abutilon,sandwicense,NA,Hawaii,Endangered,NA,NA,NA
Abutilon,thurberi,NA,Arizona,NA,Critically Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Acacia,farnesiana,NA,Arizona,NA,Critically Imperiled,Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Acaena,exigua,NA,Hawaii,Endangered,NA,NA,NA
Acanthametropus,pecatonica,NA,Wisconsin,NA,Endangered,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Acantharchus,pomotis,NA,Maryland,NA,In need of conservation,Imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Acanthomintha,ilicifolia,NA,California,Threatened,NA,NA,NA
Acanthomintha,obovata,duttonii,California,Endangered,NA,NA,NA
Accipiter,cooperii,NA,Alabama,NA,Rare or uncommon,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Accipiter,gentilis,NA,Maryland,NA,Endangered,Critically imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Accipiter,gentilis,NA,Washington,NA,Candidate,NA,http://www.mendeley.com/c/5144569454/g/2058663/washington-state-species-of-concern-lists/
Accipiter,striatus,NA,Maryland,NA,NA,Critically imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Accipiter,striatus,venator,Puerto Rico,Endangered,NA,NA,NA
Accipiter,striatus,NA,Massachusetts,NA,Special Concern,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Accipiter,striatus,NA,Tennessee,NA,in need of management,NA,https://www.zotero.org/groups/178496/items/itemKey/ISP6CBBN/q/introduction%20to%20the
Achatinella spp.,NA,NA,Hawaii,Endangered,NA,NA,NA
Achyranthes,mutica,NA,Hawaii,Endangered,NA,NA,NA
Achyranthes,splendens,rotundata,Hawaii,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Maine,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Maryland,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Maryland,NA,Endangered,Critically imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Acipenser,brevirostrum,NA,Massachusetts,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,New York,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,North Carolina,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Rhode Island,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,South Carolina,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Virginia,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Connecticut,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Deleware,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Florida,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Georgia,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Georgia,NA,Endangered,NA,http://www.mendeley.com/c/5144545934/g/2058663/protected-species-lists-of-georgia/
Acipenser,brevirostrum,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Acipenser,brevirostrum,NA,New Hampshire,NA,Endangered,NA,http://www.mendeley.com/c/5093636202/g/2058663/new-hampshire-species-status-state-listing/
Acipenser,brevirostrum,NA,New Jersey,Endangered,NA,NA,NA
Acipenser,brevirostrum,NA,Virginia,NA,Endangered,NA,http://www.mendeley.com/c/5144547734/g/2058663/special-legal-status-faunal-species-in-virginia/
Acipenser,fulvescens,NA,Alabama,NA,Presumed extirpated,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Acipenser,medirostris,NA,California,Threatened,NA,U.S.A.,NA
Acipenser,medirostris,NA,Washington,NA,Threatened,NA,http://www.mendeley.com/c/5144569454/g/2058663/washington-state-species-of-concern-lists/
Acipenser,oxyrinchus,desotoi,Louisiana,Threatened,NA,NA,NA
Acipenser,oxyrinchus,NA,Maryland,NA,NA,Critically imperilled,http://www.mendeley.com/c/5144550554/g/2058663/endangered-animals-of-maryland/
Acipenser,oxyrinchus,desotoi,Alabama,Threatened,NA,NA,NA
Acipenser,oxyrinchus,desotoi,Alabama,NA,Critically imperiled,State protected,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Acipenser,oxyrinchus,desotoi,Florida,Threatened,NA,NA,NA
Acipenser,oxyrinchus,NA,Florida,NA,Special Concern,NA,http://www.mendeley.com/c/5092052772/g/2058663/florida-species-status-state-listed/
Acipenser,oxyrinchus,desotoi,Georgia,Threatened,NA,NA,NA
Acipenser,oxyrinchus,NA,Massachusetts,NA,Endangered,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Acipenser,oxyrinchus,desotoi,Mississippi,Threatened,NA,NA,NA
Acipenser,transmontanus,NA,California,Endangered,NA,U.S.A.,NA
Acipenser,transmontanus,NA,Montana,NA,Endangered,NA,http://www.mendeley.com/c/5147076304/g/2058663/montana-species-of-interest/
Acipenser,transmontanus,NA,Oregon,Endangered,NA,USA ID MT Canada BC Kootenai R system,NA
Acipenser,transmontanus,NA,Washington,Endangered,NA,USA ID MT Canada BC Kootenai R system,NA
Acipenser,transmontanus,NA,Alaska,Endangered,NA,MT) Canada (B.C.) Kootenai R. system,NA
Acipenser,transmontanus,NA,Idaho,Endangered,NA,U.S.A. ID MT Canada B.C. Kootenai R. system,NA
Acipenser,transmontanus,NA,Montana,Endangered,NA,USA ID MT Canada BC Kootenai River system,NA
Aconitum,infectum,NA,Arizona,NA,Critically Imperiled,NA,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Aconitum,noveboracense,NA,Iowa,Threatened,NA,NA,NA
Aconitum,noveboracense,NA,New York,Threatened,NA,NA,NA
Aconitum,noveboracense,NA,Ohio,Threatened,NA,NA,NA
Aconitum,noveboracense,NA,Wisconsin,Threatened,NA,NA,NA
Aconitum,noveboracense,NA,Wisconsin,NA,Threatened,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Aconitum,uncinatum,NA,Alabama,NA,Critically imperiled,NA,http://www.mendeley.com/c/5091667202/g/2058663/alabama-species-status-state-listing/
Acris,crepitans,NA,Wisconsin,NA,Endangered,NA,http://www.mendeley.com/c/5144553034/g/2058663/wisconsin-endangered-and-threatened-species-laws--list/
Acris,crepitans,NA,Colorado,NA,Special Concern,NA,http://www.mendeley.com/c/5091918642/g/2058663/colorado-species-status-state-listing/
Acrocephalus,familiaris,kingi,Hawaii,Endangered,NA,NA,NA
Acroloxus,coloradensis,NA,Colorado,NA,Special Concern,NA,http://www.mendeley.com/c/5091918642/g/2058663/colorado-species-status-state-listing/
Acronicta,albarufa,NA,Massachusetts,NA,Threatened,NA,http://www.mendeley.com/c/5093609242/g/2058663/natural-heritage---massachusetts-list-of-endangered-threatened-and-special-concern-species/
Acropora,cervicornis,NA,Puerto Rico,Threatened,NA,NA,NA
Acropora,cervicornis,NA,Florida,Threatened,NA,NA,NA
Acropora,palmata,NA,Puerto Rico,Threatened,NA,NA,NA
Acropora,palmata,NA,Florida,Threatened,NA,NA,NA
