spp_id,genus,sp,subsp,state,federal status,state status,notes/additional state status,source
myo_gri,Myotis,grisescens,,Alabama,Endangered,,,
myo_sod,Myotis,sodalis,,Alabama,Endangered,,,
eskcur,Numenius,borealis,,Alabama,Endangered,,,
pipplo,Charadrius,melodus,,Alabama,Threatened,,except Great Lakes watershed,
woosto,Mycteria,americana,,Alabama,Endangered,,,
bacwar,Vermivora,bachmanii,,Alabama,Endangered,,,
can_lup,Canis,lupus,,Alabama,Endangered,,U.S.A.: All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT WV those portions of AZ NM and TX not included in an experimental population; and portions of IA IN IL ND OH OR SD UT and WA. Mexico,
recwoo,Picoides,borealis,,Alabama,Endangered,,,
AMPU7,Amphianthus,pusillus,,Alabama,Threatened,,,
LELY,Lesquerella,lyrata,,Alabama,Threatened,,,
MAMO3,Marshallia,mohrii,,Alabama,Threatened,,,
SCAM,Schwalbea,americana,,Alabama,Endangered,,,
XYTE,Xyris,tennesseensis,,Alabama,Endangered,,,
CLSO3,Clematis,socialis,,Alabama,Endangered,,,
CLMO6,Clematis,morefieldii,,Alabama,Endangered,,,
SPGE,Spigelia,gentianoides,,Alabama,Endangered,,,
SAOR3,Sarracenia,oreophila,,Alabama,Endangered,,,
APPR,Apios,priceana,,Alabama,Threatened,,,
DAFO2,Dalea,foliosa,,Alabama,Endangered,,,
TRRE6,Trillium,reliquum,,Alabama,Endangered,,,
SASE9,Sagittaria,secundifolia,,Alabama,Threatened,,,
shtalb,Phoebastria,albatrus,,Alaska,Endangered,,,
urs_mar,Ursus,maritimus,,Alaska,Threatened,,,
eskcur,Numenius,borealis,,Alaska,Endangered,,,
speeid,Somateria,fischeri,,Alaska,Threatened,,,
steeid,Polysticta,stelleri,,Alaska,Threatened,,AK breeding pop.,
lyn_can,Lynx,canadensis,,Alaska,Threatened,,Contiguous U.S. DPS),
marmur,Brachyramphus,marmoratus,,Alaska,Threatened,,CA OR WA,
POAL6,Polystichum,aleuticum,,Alaska,Endangered,,,
calcon,Gymnogyps,californianus,,Arizona,Endangered,,Entire except where listed as an experimental population below,
eskcur,Numenius,borealis,,Arizona,Endangered,,,
thbpar,Rhynchopsitta,pachyrhyncha,,Arizona,Endangered,,,
