spp_id,genus,sp,subsp,state,federal status,state status,notes/additional state status,source
unknown,Epioblasma,othcaloogensis,,Alabama,Endangered,,,
unknown,Elliptoideus,sloatianus,,Alabama,Threatened,,,
myo_gri,Myotis,grisescens,,Alabama,Endangered,,,
myo_sod,Myotis,sodalis,,Alabama,Endangered,,,
unknown,Villosa,trabalis,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Nicrophorus,americanus,,Alabama,Endangered,,,
unknown,Epioblasma,torulosa,torulosa,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Epioblasma,turgidula,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Epioblasma,florentina,florentina,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Campeloma,decampi,,Alabama,Endangered,,,
unknown,Speoplatyrhinus,poulsoni,,Alabama,Endangered,,,
unknown,Erimonax monachus,Entire,,Alabama,Threatened,,,
unknown,Pleurobema,clava,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Pleurobema,curtum,,Alabama,Endangered,,,
unknown,Pleurobema,perovatum,,Alabama,Endangered,,,
unknown,Pleurobema,decisum,,Alabama,Endangered,,,
unknown,Epioblasma,brevidens,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Epioblasma,penita,,Alabama,Endangered,,,
unknown,Epioblasma,metastriata,,Alabama,Endangered,,,
eskcur,Numenius,borealis,,Alabama,Endangered,,,
unknown,Percina,antesella,,Alabama,Endangered,,,
unknown,Etheostoma,wapiti,,Alabama,Endangered,,,
unknown,Percina,aurolineata,,Alabama,Threatened,,,
unknown,Etheostoma,phytophilum,,Alabama,Endangered,,,
unknown,Etheostoma,boschungi,,Alabama,Threatened,,,
unknown,Percina,tanasi,,Alabama,Threatened,,,
unknown,Etheostoma,chermocki,,Alabama,Endangered,,,
unknown,Etheostoma,nuchale,,Alabama,Endangered,,,
unknown,Somatochlora,hineana,,Alabama,Endangered,,,
unknown,Elimia,crenatella,,Alabama,Threatened,,,
unknown,Cyprogenia,stegaria,,Alabama,Endangered,,,
unknown,Rana,sevosa,,Alabama,Endangered,,Entire,
unknown,Potamilus,inflatus,,Alabama,Threatened,,,
unknown,Pleurocera,foremani,,Alabama,Endangered,,,
unknown,Ptychobranchus,greenii,,Alabama,Endangered,,,
unknown,Lampsilis,virescens,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Toxolasma,cylindrellus,,Alabama,Endangered,,,
unknown,Lioplax,cyclostomaformis,,Alabama,Endangered,,,
unknown,Quadrula,fragosa,,Alabama,Endangered,,Entire; except where listed as experimental populations,
unknown,Medionidus,acutissimus,,Alabama,Threatened,,,
unknown,Medionidus,parvulus,,Alabama,Endangered,,,
unknown,Medionidus,penicillatus,,Alabama,Endangered,,,
unknown,Quadrula,intermedia,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
per_pol,Peromyscus,polionotus,ammobates,Alabama,Endangered,,,
per_pol,Peromyscus,polionotus,trissyllepsis,Alabama,Endangered,,,
unknown,Lampsilis,perovalis,,Alabama,Threatened,,,
unknown,Lampsilis,abrupta,,Alabama,Endangered,,,
unknown,Epioblasma,capsaeformis,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Leptodea,leptodon,,Alabama,Endangered,,,
unknown,Plethobasus,cyphyus,,Alabama,Endangered,,,
unknown,Epioblasma,triquetra,,Alabama,Endangered,,,
pum_con,Puma,concolor,coryi,Alabama,Endangered,,,
unknown,Conradilla,caelata,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Hemistena,lata,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Dromus,dromas,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Pegias,fabula,,Alabama,Endangered,,,
unknown,Lepyrium,showalteri,,Alabama,Endangered,,,
unknown,Pleurobema,furvum,,Alabama,Endangered,,,
unknown,Fusconaia,cuneolus,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Pleurobema,marshalli,,Alabama,Endangered,,,
unknown,Pleurobema,hanleyianum,,Alabama,Endangered,,,
unknown,Pleurobema,taitianum,,Alabama,Endangered,,,
unknown,Pleurobema,pyriforme,,Alabama,Endangered,,,
unknown,Pleurobema,plenum,,Alabama,Endangered,,,
unknown,Fusconaia,cor,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Pleurobema,georgianum,,Alabama,Endangered,,,
unknown,Plethobasus,cooperianus,,Alabama,Endangered,,,
pipplo,Charadrius,melodus,,Alabama,Threatened,,except Great Lakes watershed,
unknown,Lampsilis,altilis,,Alabama,Threatened,,,
unknown,Lampsilis,subangulata,,Alabama,Endangered,,,
unknown,Epioblasma,obliquata,obliquata,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Epioblasma,florentina,walkeri,Alabama,Endangered,,,
unknown,Obovaria,retusa,,Alabama,Endangered,,,
unknown,Athearnia,anthonyi,,Alabama,Endangered,,Entire Range; Except where listed as Experimental Populations,
unknown,Leptoxis,foremani,,Alabama,Endangered,,,
unknown,Leptoxis,taeniata,,Alabama,Threatened,,,
unknown,Leptoxis,plicata,,Alabama,Endangered,,,
unknown,Leptoxis,ampla,,Alabama,Threatened,,,
unknown,Ambystoma,cingulatum,,Alabama,Threatened,,,
unknown,Phaeognathus,hubrichti,,Alabama,Threatened,,,
unknown,Cottus,paulus,,Alabama,Threatened,,,
unknown,Chelonia,mydas,,Alabama,Threatened,,except where endangered,
unknown,Eretmochelys,imbricata,,Alabama,Endangered,,,
unknown,Lepidochelys,kempii,,Alabama,Endangered,,,
unknown,Dermochelys,coriacea,,Alabama,Endangered,,,
unknown,Caretta,caretta,,Alabama,Threatened,,,
unknown,Cyprinella,caerulea,,Alabama,Threatened,,,
unknown,Notropis,cahabae,,Alabama,Endangered,,,
unknown,Notropis,albizonatus,,Alabama,Endangered,,,
unknown,Palaemonias,alabamae,,Alabama,Endangered,,,
unknown,Elliptio,chipolaensis,,Alabama,Threatened,,,
unknown,Pyrgulopsis,pachyta,,Alabama,Endangered,,,
unknown,Tulotoma,magnifica,,Alabama,Threatened,,,
unknown,Drymarchon,corais,couperi,Alabama,Threatened,,,
unknown,Cumberlandia,monodonta,,Alabama,Endangered,,,
unknown,Quadrula,stapes,,Alabama,Endangered,,,
woosto,Mycteria,americana,,Alabama,Endangered,,,
unknown,Scaphirhynchus,suttkusi,,Alabama,Endangered,,,
unknown,Acipenser,oxyrinchus,desotoi,Alabama,Threatened,,,
unknown,Gopherus,polyphemus,,Alabama,Threatened,,W of of Mobile/Tombigbee Rs.,
unknown,Pseudemys,alabamensis,,Alabama,Endangered,,,
unknown,Sternotherus,depressus,,Alabama,Threatened,,species range clarified,
bacwar,Vermivora,bachmanii,,Alabama,Endangered,,,
unknown,Plethobasus,cicatricosus,,Alabama,Endangered,,,
unknown,Balaenoptera,physalus,,Alabama,Endangered,,,
unknown,Megaptera,novaeangliae,,Alabama,Endangered,,,
