Agonum placidum,Niwot,Fraser,CPER,Sterling
Amara alpina,0,0,0,4
Amara carinata,0,38,0,0
Amara convexa,0,0,0,50
Amara cupreolata,0,0,13,0
Amara latior,4,0,0,1
Amara obesa,0,0,0,5
Amara quenseli,0,0,1,0
Amara sp,10,1,1,0
Amara sp. 1,1,0,0,0
Anisodactylus carbonarius,0,0,0,1
Anisodactylus rusticus,0,0,0,2
Anisodactylus sp 1 (rusticus group),0,0,0,2
Bembidion rapidum,0,0,0,1
Calathus advena,0,1,1,1
Calathus ingratus,0,1,0,0
Calleida viridis,0,2,0,0
Carabus taedatus agassii,0,0,1,0
Cicindela punctulata,37,15,0,0
Cratacanthus dubius,0,0,20,43
Cyclotrachelus constrictus,0,0,0,13
Cyclotrachelus torvus torvus,0,0,3,1
Cymindis cribricollis,0,0,1,165
Cymindis interior,37,0,0,0
Cymindis planipennis,0,0,3,1
Cymindis unicolor,0,0,2,0
Discoderus parallelus,11,2,0,0
Dyschiriodes globulosus,0,0,1,0
Elaphropus anceps,0,0,1,0
Euryderus grossus,0,0,0,1
Galerita janus,0,0,3,0
Harpalus amputatus,0,0,0,1
Harpalus caliginosus,0,0,0,169
Harpalus compar,0,0,2,2
Harpalus fuscipalpus,0,0,1,1
Harpalus opacipennis,0,0,5,0
Harpalus pensylvanicus,0,0,0,1
Harpalus reversus,0,0,0,77
Harpalus seclusus,0,0,0,230
Harpalus sp. 1,0,11,0,0
Harpalus sp. 2,0,0,1,0
Notiophilus aquaticus,0,0,0,1
Notiophilus semistriatus,1,0,0,0
Pasimachus elongatus,0,1,0,0
Poecilus lucublandus,0,0,12,7
Poecilus scitulus,0,0,0,3
Pterostichus intectus,0,0,0,157
Pterostichus surgens,1,12,0,0
Stenolophus conjunctus,1,13,0,0
,0,0,0,1
