source,Kingdom,Subkingdom,superdivision,Phylum,subdivision,Superclass,Class,Order,Suborder,Infraorder,Family,Subfamily,Genus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Alytidae,,Alytes
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Alytidae,,Discoglossus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Aromobatidae,Allobatinae,Allobates
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Aromobatidae,Anomaloglossinae,Anomaloglossus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Aromobatidae,Anomaloglossinae,Rheobates
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Aromobatidae,Aromobatinae,Aromobates
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Aromobatidae,Aromobatinae,Mannophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Arthroleptidae,Arthroleptinae,Arthroleptis
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Arthroleptidae,Arthroleptinae,Astylosternus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Arthroleptidae,Arthroleptinae,Cardioglossa
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Arthroleptidae,Arthroleptinae,Leptodactylodon
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Arthroleptidae,Arthroleptinae,Nyctibates
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Arthroleptidae,Arthroleptinae,Scotobleps
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Arthroleptidae,Arthroleptinae,Trichobatrachus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Arthroleptidae,Leptopelinae,Leptopelis
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bombinatoridae,,Barbourula
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bombinatoridae,,Bombina
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Brachycephalidae,,Brachycephalus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Brachycephalidae,,Ischnocnema
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Brevicipitidae,,Balebreviceps
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Brevicipitidae,,Breviceps
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Brevicipitidae,,Callulina
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Brevicipitidae,,Probreviceps
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Brevicipitidae,,Spelaeophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Adenomus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Altiphrynoides
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Amietophrynus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Anaxyrus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Andinophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Ansonia
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Atelopus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Bufo
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Bufoides
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Capensibufo
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Churamiti
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Crepidophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Dendrophryniscus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Didynamipus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Duttaphrynus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Epidalea
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Frostius
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Incilius
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Ingerophrynus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Laurentophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Leptophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Melanophryniscus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Mertensophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Metaphryniscus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Nannophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Nectophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Nectophrynoides
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Nimbaphrynoides
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Oreophrynella
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Osornophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Parapelophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Pedostibes
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Pelophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Peltophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Phrynoidis
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Poyntonophrynus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Pseudepidalea
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Pseudobufo
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Rhaebo
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Rhinella
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Sabahphrynus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Schismaderma
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Truebella
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Vandijkophrynus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Werneria
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Bufonidae,,Wolterstorffina
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Calyptocephalellidae,,Calyptocephalella
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Calyptocephalellidae,,Telmatobufo
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Centrolenidae,Allophryninae,Allophryne
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Centrolenidae,Centroleninae,Centrolene
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Centrolenidae,Centroleninae,Cochranella
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Centrolenidae,Centroleninae,Hyalinobatrachium
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Centrolenidae,Centroleninae,Nymphargus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratobatrachidae,,Batrachylodes
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratobatrachidae,,Ceratobatrachus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratobatrachidae,,Discodeles
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratobatrachidae,,Palmatorappia
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratobatrachidae,,Platymantis
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratophryidae,Batrachylinae,Atelognathus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratophryidae,Batrachylinae,Batrachyla
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratophryidae,Ceratophryinae,Ceratophrys
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratophryidae,Ceratophryinae,Chacophrys
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratophryidae,Ceratophryinae,Lepidobatrachus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratophryidae,Telmatobiinae,Batrachophrynus
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Ceratophryidae,Telmatobiinae,Telmatobius
ITIS_2014_dl,Animalia,Bilateria,Deuterostomia,Chordata,Vertebrata,  Tetrapoda ,Amphibia,Anura,,,Craugastoridae,,Craugastor
