genus,sp,subsp,state,federal status,state status,notes/additional state status,source
Felis,concolor,coryi,Florida,Endangered,Endangered,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Sciurus,niger,shermani,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Ursus,americanus,floridanus,Florida,,Threatened,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Podomys,floridanus,,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Drymarchon,corais,couperi,Florida,Threatened,Threatened,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Gopherus,polyphemus,,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Rana,capito,aesopus,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Pituophis,melanoleucus,mugitus,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Alligator,mississippiensis,,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Stilosoma,extenuatum,,Florida,,Threatened,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Mycteria,americana,,Florida,Endangered,Endangered,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Aphelocoma,coerulescens,,Florida,Threatened,Threatened,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Polyborus,plancus,audubonii,Florida,Threatened,Threatened,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Falco,peregrinus,tundrius,Florida,,Endangered,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Haliaeetus,leucocephalus,leucocephalus,Florida,Protected,Threatened,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Grus,canadensis,pratensis,Florida,,Threatened,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Athene,cunicularia,floridana,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Ajaia,ajaja,,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Aramus,guarauna,pictus,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Egretta,thula,thula,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Pandion,haliaetus,carolinensis,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Egretta,caerulea,,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Egretta,tricolor,ruficolis,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Eudocimus,albus,,Florida,,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Falco,sparverius,paulus,Florida,,Threatened,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Ammodramus,savannarum,floridanus,Florida,Endangered,Endangered,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Picoides,borealis,,Florida,Endangered,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Grus,americana,,Florida,Experimental,Species of special concern,,http://www.mendeley.com/c/5605595424/g/2058663/2012-dwp-listed-vertebrates/
Calopogon,multiflorus,,Florida,,Endangered,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Lechea,divaricata,,Florida,,Endangered,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Matelea,floridana,,Florida,,Endangered,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Nemastylis,floridana,,Florida, ,Endangered,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Panicum,abscissum,,Florida,,Endangered,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Tillandsia,fasciculata,,Florida,,Endangered,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Tillandsia,utriculata,,Florida,,Endangered,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Andropogon,arctatus,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Harrisella,porrecta,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Lechea,cernua,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Lilium,catesbaei,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Matelea,gonocarpos,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Pinguicula,caerulea,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Pinguicula,lutea,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Platanthera,ciliaris,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Pohonia,phioglossoides,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Sacoila,lanceolata,lanceolata,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Sarracenia,minor,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Tillandsia,balbisiana,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Zephyranthes,atamasca,,Florida,,Threatened,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Encyclia,tampensis,,Florida,,Commercially exploited,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Epidendrum,conopseum,,Florida,,Commercially exploited,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Osmunda,cinnamomea,,Florida,,Commercially exploited,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
Osmunda,regalis,,Florida,,Commercially exploited,,http://www.mendeley.com/c/5605595494/g/2058663/2012-dwp-listed-plants/
