site,genus,sp,subsp,common_name,source
DSNY,,,,longleaf pine,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,,,,cypress,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,,,,oak,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,,,,saw palmetto,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,,,,fall-flowering ixia,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,,,,Catesby's lily,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
OSBS,Lycopodium,alopecuroides,,Foxtail clubmoss,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Lycopodium,prostratum,,Harper's clubmoss,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Lygodium,japonicum,,Japanese climbing fern,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Osmunda,cinnamomea,,Cinnamon fern,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Osmunda,regalis,,Royal fern,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Polypodium,polypodioides,michauxianum,Resurrection fern,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Phlebodium,aureum,,Golden polypody,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Pteridium,aquilium,,Bracken fern,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Woodwardia,areolata,,Netted chain fern,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Woodwardia,virginica,,Virginia chain fern,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Azolla,caroliniana,,Mosquito fern,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Cycas,revoluta,,Sago palm,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Zamia,pumila,,Coontie,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Pinus,clausa,immuginata,Choctawhatchee sand pine,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Pinus,elliottii,,longleaf pine,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Pinus,palustris,,Loblolly pine,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Pinus,taeda,,Pond cypress,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Taxodium,ascendens,,Southern red cedar,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Juniperus,silicicola,,,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Typha,latifolia,,Common cat-tail,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Sagittaria,iscetiformis,,Narrow-leaved arrowhead,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Sagittaria,lancifolia,,Lanceleaf arrowhead,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Sagittaria,latifolia,,Common arrowhead,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Limnobium,spongia,,Frog's-bit,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Agrostis,hiemalis,,Ticklegrass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Amphicarpum,muhlenbergianum,,Peanut grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Andropogon,brachystachyus,,Shortspike bluestem,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Andropogon,floridanus,,Florida bluestem,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Andropogon,glomeratus,,Bushy bluestem,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Andropogon,gyrans,,Elliott beard grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Andropogon,temarius,temarius,Splitbeard bluestem,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Andropogon,virginicus,glaucus,Chalky cluestem,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Andropogon,virginicus,virginicus,Green silkyscale,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Anthaenantia,villosa,,Big threeawn,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Aristada,condensata,,Corkscrew threeawn,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Aristada,gyrans,,Mohr's threeawn,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Aristada,mohrii,,Arrowfeather threeawn,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Aristada,purpurascens,purpurascens,Hillsborough threeawn,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Aristada,purpurascens,tenuispica,Trinius,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Aristada,purpurascens,virgata,Chapman threeawn,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Aristada,simpliciflora,,Bottlebrush threeawn,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Aristada,spiciforma,,Wire grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Aristada,stricta,,Common carpet grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Axonopus,affinis,,Big carpet grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Axonopus,furcatus,,Hedge bamboo,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Bambusa,multiplex,,Slender sandspur,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Cenchrus,gracillium,,Coast sandspur,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Cenchrus,incertis,,Florida rhaphis,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Chrysopogon,paucifloris,,Florida joint-tail,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Coelorachis,tuberculos,,Florida toothache grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Ctenium,floridanum,,Bermuda grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Cynodon,dactylon,,,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Digitaria,bicornis,,Fall witch grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Digitaria,cognata,,Longleaf finger grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Digitaria,gracillima,,Elliott love grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Digitaria,villosa,,Purple love grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Eragrostris,elliottii,,Centipede grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Eragrostris,spectabilis,,Sugarcane plume grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Eremochloa,ophiuroides,,Fourspike eustachys,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Erianthus,giganteus,,Bearded skeleton grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Eustachys,neglecta,,Southern cut grass,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Gymnopogon,ambiguus,,Narrowleaf panicum,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Leersia,hexandra,,Wooly panicum,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Panicum,aciculare,,Fringed panicum,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
OSBS,Panicum,acuminatum,,Deer tongue panicum,http://www.mendeley.com/c/4959031202/g/2058663/annotated-plant-species-list-of-the-ordway-swisher-biological-station/
